13:40:03 | MAX-FITO | Стартовал
13:40:07 | Метео-New | Нет данных
13:40:50 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
13:40:50 | УльтраКлима 501-Ultra | Нет приема данных
13:41:07 | Метео-New | Нет данных
13:41:11 | Микроклимат 501 3 | Авария управления
13:41:11 | Микроклимат 501 3 | Авария управления
13:41:53 | УльтраКлима 501-Ultra | Нет приема данных
13:41:57 | Микроклимат 501 3 | Авария управления
13:42:03 | Микроклимат 501 3 | Авария управления
13:42:07 | Метео-New | Нет данных
13:42:49 | УльтраКлима 501-Ultra | Нет приема данных
13:42:50 | Микроклимат 501 3 | Авария управления
13:43:03 | Микроклимат 501 3 | Авария управления
13:43:07 | Метео-New | Нет данных
13:43:50 | УльтраКлима 501-Ultra | Нет приема данных
13:43:50 | Микроклимат 501 3 | Авария управления
13:44:03 | Микроклимат 501 3 | Авария управления
13:44:07 | Метео-New | Нет данных
13:44:49 | УльтраКлима 501-Ultra | Нет приема данных
13:44:55 | Микроклимат 501 3 | Авария управления
13:45:03 | Микроклимат 501 3 | Авария управления
13:45:07 | Метео-New | Нет данных
13:45:46 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
13:45:46 | УльтраКлима 501-Ultra | Нет приема данных
13:45:47 | Микроклимат 501 3 | Авария управления
13:46:03 | Микроклимат 501 3 | Авария управления
13:46:07 | Метео-New | Нет данных
13:46:25 | MAX-FITO | Закрыт
13:51:46 | MAX-FITO | Стартовал
13:51:51 | Метео-New | Нет данных
13:52:33 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
13:52:33 | УльтраКлима 501-Ultra | Нет приема данных
13:52:34 | Микроклимат 501 3 | Авария управления
13:52:47 | Микроклимат 501 3 | Авария управления
13:52:51 | Метео-New | Нет данных
13:53:33 | УльтраКлима 501-Ultra | Нет приема данных
13:53:34 | Микроклимат 501 3 | Авария управления
13:53:47 | Микроклимат 501 3 | Авария управления
13:53:51 | Метео-New | Нет данных
13:54:33 | УльтраКлима 501-Ultra | Нет приема данных
13:54:34 | Микроклимат 501 3 | Авария управления
13:54:51 | Метео-New | Нет данных
13:54:53 | Микроклимат 501-72 | Авария управления
