9:52:05 | MAX-FITO | Стартовал
9:52:09 | Метео-New | Нет данных
9:52:12 | MAX-FITO | Закрыт
10:23:56 | MAX-FITO | Стартовал
10:23:59 | MAX-FITO | Закрыт
11:11:12 | MAX-FITO | Стартовал
11:11:16 | Метео-New | Нет данных
11:12:03 | Микроклимат 501 3 | Авария управления
11:12:14 | Микроклимат 501 3 | Авария управления
11:12:17 | Метео-New | Нет данных
11:12:41 | MAX-FITO | Закрыт
14:14:33 | MAX-FITO | Стартовал
14:14:37 | Метео-New | Нет данных
14:14:43 | MAX-FITO | Закрыт
17:14:41 | MAX-FITO | Стартовал
17:14:46 | Метео-New | Нет данных
17:15:33 | Микроклимат 501 3 | Авария управления
17:15:42 | Микроклимат 501 3 | Авария управления
17:15:46 | Метео-New | Нет данных
17:16:12 | Микроклимат 501 3 | Авария управления
17:16:42 | Микроклимат 501 3 | Авария управления
17:16:46 | Метео-New | Нет данных
17:17:12 | Микроклимат 501 3 | Авария управления
17:17:46 | Метео-New | Нет данных
17:17:47 | Микроклимат 501 3 | Авария управления
17:18:12 | Микроклимат 501 3 | Авария управления
17:18:20 | MAX-FITO | Закрыт
17:45:15 | MAX-FITO | Стартовал
17:45:19 | MAX-FITO | Закрыт
17:49:14 | MAX-FITO | Стартовал
17:49:18 | MAX-FITO | Закрыт
17:55:43 | MAX-FITO | Стартовал
17:55:48 | Метео-New | Нет данных
17:55:50 | MAX-FITO | Закрыт
