9:40:53 | MAX-FITO | Стартовал
9:41:17 | MAX-FITO | Закрыт
9:48:13 | MAX-FITO | Стартовал
9:49:13 | Микроклимат 501 3 | Авария управления
9:50:15 | Микроклимат 501 3 | Авария управления
9:51:13 | Микроклимат 501 3 | Авария управления
9:52:13 | Микроклимат 501 3 | Авария управления
9:53:13 | Микроклимат 501 3 | Авария управления
9:54:19 | Микроклимат 501 3 | Авария управления
9:54:46 | MAX-FITO | Закрыт
10:09:44 | MAX-FITO | Стартовал
10:10:24 | MAX-FITO | Закрыт
10:21:01 | MAX-FITO | Стартовал
10:21:12 | MAX-FITO | Закрыт
10:23:24 | MAX-FITO | Стартовал
10:24:24 | Микроклимат 501 3 | Авария управления
10:25:24 | Микроклимат 501 3 | Авария управления
10:25:25 | MAX-FITO | Закрыт
10:25:36 | MAX-FITO | Стартовал
10:26:36 | Микроклимат 501 3 | Авария управления
10:27:36 | Микроклимат 501 3 | Авария управления
10:28:36 | Микроклимат 501 3 | Авария управления
10:30:04 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
10:30:04 | Микроклимат 501 3 | Нет приема данных
10:30:41 | Микроклимат 501 3 | Авария управления
10:31:36 | Микроклимат 501 3 | Авария управления
10:32:36 | Микроклимат 501 3 | Авария управления
10:33:36 | Микроклимат 501 3 | Авария управления
10:35:18 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
10:35:18 | Микроклимат 501 3 | Нет приема данных
10:36:18 | Микроклимат 501 3 | Нет приема данных
10:37:18 | Микроклимат 501 3 | Нет приема данных
10:37:57 | Микроклимат 501 3 | Авария управления
10:38:36 | Микроклимат 501 3 | Авария управления
10:39:36 | Микроклимат 501 3 | Авария управления
10:40:36 | Микроклимат 501 3 | Авария управления
10:41:36 | Микроклимат 501 3 | Авария управления
10:42:36 | Микроклимат 501 3 | Авария управления
10:43:41 | Микроклимат 501 3 | Авария управления
10:44:41 | Микроклимат 501 3 | Авария управления
10:46:18 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
10:46:18 | Микроклимат 501 3 | Нет приема данных
10:47:18 | Микроклимат 501 3 | Нет приема данных
10:48:18 | Микроклимат 501 3 | Нет приема данных
10:48:57 | Микроклимат 501 3 | Авария управления
10:49:36 | Микроклимат 501 3 | Авария управления
10:50:36 | Микроклимат 501 3 | Авария управления
10:51:36 | Микроклимат 501 3 | Авария управления
10:52:36 | Микроклимат 501 3 | Авария управления
10:53:36 | Микроклимат 501 3 | Авария управления
10:54:36 | Микроклимат 501 3 | Авария управления
10:55:36 | Микроклимат 501 3 | Авария управления
10:56:36 | Микроклимат 501 3 | Авария управления
10:57:41 | Микроклимат 501 3 | Авария управления
10:58:41 | Микроклимат 501 3 | Авария управления
10:59:36 | Микроклимат 501 3 | Авария управления
11:00:36 | Микроклимат 501 3 | Авария управления
11:01:36 | Микроклимат 501 3 | Авария управления
11:02:36 | Микроклимат 501 3 | Авария управления
11:03:41 | Микроклимат 501 3 | Авария управления
11:05:18 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
11:05:18 | Микроклимат 501 3 | Нет приема данных
11:05:57 | Микроклимат 501 3 | Авария управления
11:06:36 | Микроклимат 501 3 | Авария управления
11:06:55 | MAX-FITO | Закрыт
11:26:30 | MAX-FITO | Стартовал
11:27:30 | Микроклимат 501 3 | Авария управления
11:27:44 | MAX-FITO | Закрыт
11:42:22 | MAX-FITO | Стартовал
11:43:22 | Микроклимат 501 3 | Авария управления
11:44:31 | Микроклимат 501 3 | Авария управления
11:45:35 | Микроклимат 501 3 | Авария управления
11:46:22 | Микроклимат 501 3 | Авария управления
11:47:22 | Микроклимат 501 3 | Авария управления
11:48:38 | Микроклимат 501 3 | Авария управления
11:48:40 | MAX-FITO | Закрыт
11:49:49 | MAX-FITO | Стартовал
11:50:16 | MAX-FITO | Закрыт
11:58:11 | MAX-FITO | Стартовал
11:58:52 | MAX-FITO | Закрыт
12:16:16 | MAX-FITO | Стартовал
12:17:17 | Микроклимат 501 3 | Авария управления
12:18:17 | Микроклимат 501 3 | Авария управления
12:18:52 | MAX-FITO | Закрыт
12:21:39 | MAX-FITO | Стартовал
12:22:40 | Микроклимат 501 3 | Авария управления
12:23:39 | Микроклимат 501 3 | Авария управления
12:24:39 | Микроклимат 501 3 | Авария управления
