8:55:35 | MAX-FITO | Стартовал
8:55:38 | MAX-FITO | Закрыт
9:46:15 | MAX-FITO | Стартовал
9:46:16 | MAX-FITO | Закрыт
10:52:46 | MAX-FITO | Стартовал
10:53:37 | MAX-FITO | Закрыт
10:54:07 | MAX-FITO | Стартовал
10:55:08 | Микроклимат 501 3 | Авария управления
10:56:10 | Микроклимат 501 3 | Авария управления
10:57:13 | Микроклимат 501 3 | Авария управления
10:58:08 | Микроклимат 501 3 | Авария управления
10:59:08 | Микроклимат 501 3 | Авария управления
11:00:08 | Микроклимат 501 3 | Авария управления
11:01:08 | Микроклимат 501 3 | Авария управления
11:02:13 | Микроклимат 501 3 | Авария управления
11:03:11 | Микроклимат 501 3 | Авария управления
11:04:49 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
11:04:49 | Микроклимат 501 3 | Нет приема данных
11:05:49 | Микроклимат 501 3 | Нет приема данных
11:06:08 | Микроклимат 501 3 | Авария управления
11:07:49 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
11:07:49 | Микроклимат 501 3 | Нет приема данных
11:08:49 | Микроклимат 501 3 | Нет приема данных
11:09:06 | MAX-FITO | Закрыт
11:19:32 | MAX-FITO | Стартовал
11:20:33 | Микроклимат 501 3 | Авария управления
11:21:32 | Микроклимат 501 3 | Авария управления
11:22:33 | Микроклимат 501 3 | Авария управления
11:24:14 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
11:24:14 | Микроклимат 501 3 | Нет приема данных
11:25:11 | MAX-FITO | Закрыт
11:25:43 | MAX-FITO | Стартовал
11:26:24 | MAX-FITO | Закрыт
11:26:40 | MAX-FITO | Стартовал
11:27:02 | MAX-FITO | Закрыт
11:28:44 | MAX-FITO | Стартовал
11:28:58 | MAX-FITO | Закрыт
11:30:41 | MAX-FITO | Стартовал
11:30:53 | MAX-FITO | Закрыт
11:31:09 | MAX-FITO | Стартовал
11:31:25 | MAX-FITO | Закрыт
11:33:31 | MAX-FITO | Стартовал
11:33:38 | MAX-FITO | Закрыт
11:33:49 | MAX-FITO | Стартовал
11:33:55 | MAX-FITO | Закрыт
11:34:05 | MAX-FITO | Стартовал
11:34:14 | MAX-FITO | Закрыт
12:17:10 | MAX-FITO | Стартовал
12:17:23 | MAX-FITO | Закрыт
12:18:36 | MAX-FITO | Стартовал
12:19:36 | Микроклимат 501 3 | Авария управления
12:19:44 | MAX-FITO | Закрыт
12:29:43 | MAX-FITO | Стартовал
12:30:35 | MAX-FITO | Закрыт
12:31:52 | MAX-FITO | Стартовал
12:32:05 | MAX-FITO | Закрыт
12:33:08 | MAX-FITO | Стартовал
12:34:08 | Микроклимат 501 3 | Авария управления
12:34:34 | MAX-FITO | Закрыт
12:39:23 | MAX-FITO | Стартовал
12:39:46 | MAX-FITO | Закрыт
12:53:27 | MAX-FITO | Стартовал
12:54:27 | Микроклимат 501 3 | Авария управления
12:55:27 | Микроклимат 501 3 | Авария управления
12:55:33 | MAX-FITO | Закрыт
12:56:18 | MAX-FITO | Стартовал
12:56:30 | MAX-FITO | Закрыт
12:56:49 | MAX-FITO | Стартовал
12:57:24 | MAX-FITO | Закрыт
13:00:18 | MAX-FITO | Стартовал
13:00:32 | MAX-FITO | Закрыт
13:01:02 | MAX-FITO | Стартовал
13:01:20 | MAX-FITO | Закрыт
13:01:42 | MAX-FITO | Стартовал
13:01:58 | MAX-FITO | Закрыт
13:02:27 | MAX-FITO | Стартовал
13:03:26 | MAX-FITO | Закрыт
13:04:51 | MAX-FITO | Стартовал
13:05:52 | Микроклимат 501 3 | Авария управления
13:05:55 | MAX-FITO | Закрыт
13:06:13 | MAX-FITO | Стартовал
13:06:29 | MAX-FITO | Закрыт
13:28:06 | MAX-FITO | Стартовал
13:29:27 | Микроклимат 501 3 | Авария управления
13:30:06 | Микроклимат 501 3 | Авария управления
13:31:47 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
13:31:48 | Микроклимат 501 3 | Нет приема данных
13:32:27 | Микроклимат 501 3 | Авария управления
13:33:06 | Микроклимат 501 3 | Авария управления
13:34:47 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
13:34:47 | Микроклимат 501 3 | Нет приема данных
13:35:27 | Микроклимат 501 3 | Авария управления
13:36:06 | Микроклимат 501 3 | Авария управления
13:37:06 | Микроклимат 501 3 | Авария управления
13:38:11 | Микроклимат 501 3 | Авария управления
13:39:06 | Микроклимат 501 3 | Авария управления
13:40:47 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
13:40:47 | Микроклимат 501 3 | Нет приема данных
13:41:06 | Микроклимат 501 3 | Авария управления
13:42:47 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
13:42:48 | Микроклимат 501 3 | Нет приема данных
13:43:47 | Микроклимат 501 3 | Нет приема данных
13:44:47 | Микроклимат 501 3 | Нет приема данных
13:45:48 | Микроклимат 501 3 | Нет приема данных
13:46:37 | Микроклимат 501 3 | Авария управления
13:47:06 | Микроклимат 501 3 | Авария управления
13:48:47 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
13:48:48 | Микроклимат 501 3 | Нет приема данных
13:49:06 | Микроклимат 501 3 | Авария управления
13:49:34 | MAX-FITO | Закрыт
13:51:15 | MAX-FITO | Стартовал
13:52:57 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
13:52:57 | Микроклимат 501 3 | Нет приема данных
13:53:39 | Микроклимат 501 3 | Конфигурация оборудования - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
13:53:40 | Микроклимат 501 3 | Авария управления
13:54:15 | Микроклимат 501 3 | Авария управления
13:55:57 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
13:55:57 | Микроклимат 501 3 | Нет приема данных
13:56:57 | Микроклимат 501 3 | Нет приема данных
13:57:57 | Микроклимат 501 3 | Нет приема данных
13:58:16 | Микроклимат 501 3 | Авария управления
13:59:57 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
13:59:57 | Микроклимат 501 3 | Нет приема данных
14:00:57 | Микроклимат 501 3 | Нет приема данных
14:01:57 | Микроклимат 501 3 | Нет приема данных
14:02:57 | Микроклимат 501 3 | Нет приема данных
14:03:57 | Микроклимат 501 3 | Нет приема данных
14:04:37 | Микроклимат 501 3 | Авария управления
14:05:16 | Микроклимат 501 3 | Авария управления
14:06:16 | Микроклимат 501 3 | Авария управления
14:07:57 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:07:57 | Микроклимат 501 3 | Нет приема данных
14:08:57 | Микроклимат 501 3 | Нет приема данных
14:09:57 | Микроклимат 501 3 | Нет приема данных
14:10:37 | Микроклимат 501 3 | Авария управления
14:11:57 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:11:57 | Микроклимат 501 3 | Нет приема данных
14:12:57 | Микроклимат 501 3 | Нет приема данных
14:13:57 | Микроклимат 501 3 | Нет приема данных
14:14:57 | Микроклимат 501 3 | Нет приема данных
14:15:57 | Микроклимат 501 3 | Нет приема данных
14:16:57 | Микроклимат 501 3 | Нет приема данных
14:17:37 | Микроклимат 501 3 | Авария управления
14:18:16 | Микроклимат 501 3 | Авария управления
14:19:16 | Микроклимат 501 3 | Авария управления
14:20:21 | Микроклимат 501 3 | Авария управления
14:21:16 | Микроклимат 501 3 | Авария управления
14:22:16 | Микроклимат 501 3 | Авария управления
14:23:16 | Микроклимат 501 3 | Авария управления
14:24:16 | Микроклимат 501 3 | Авария управления
14:24:39 | MAX-FITO | Закрыт
14:35:07 | MAX-FITO | Стартовал
14:36:26 | MAX-FITO | Закрыт
14:58:27 | MAX-FITO | Стартовал
14:59:35 | Микроклимат 501 3 | Параметры управления - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
15:00:17 | Микроклимат 501 3 | Нет приема данных
15:01:09 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
15:01:09 | Микроклимат 501 3 | Нет приема данных
15:02:09 | Микроклимат 501 3 | Нет приема данных
15:03:09 | Микроклимат 501 3 | Нет приема данных
15:04:09 | Микроклимат 501 3 | Нет приема данных
15:05:09 | Микроклимат 501 3 | Нет приема данных
15:06:09 | Микроклимат 501 3 | Нет приема данных
15:07:09 | Микроклимат 501 3 | Нет приема данных
15:08:09 | Микроклимат 501 3 | Нет приема данных
15:09:09 | Микроклимат 501 3 | Нет приема данных
15:10:09 | Микроклимат 501 3 | Нет приема данных
15:11:09 | Микроклимат 501 3 | Нет приема данных
