11:04:28 | MAX-FITO | Стартовал
11:04:32 | Метео-New | Нет данных
11:04:47 | MAX-FITO | Закрыт
16:05:46 | MAX-FITO | Стартовал
16:05:50 | Метео-New | Нет данных
16:06:18 | MAX-FITO | Закрыт
16:07:33 | MAX-FITO | Стартовал
16:07:37 | Метео-New | Нет данных
16:08:20 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:08:20 | УльтраКлима 501-Ultra | Нет приема данных
16:08:37 | Метео-New | Нет данных
16:09:02 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:09:02 | Микроклимат 501 3 | Нет приема данных
16:09:33 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:09:33 | Микроклимат 501 3 | Нет приема данных
16:09:37 | Метео-New | Нет данных
16:10:03 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:10:03 | УльтраКлима 501-Ultra | Нет приема данных
16:10:37 | Метео-New | Нет данных
16:10:38 | Микроклимат 501 3 | Нет приема данных
16:11:03 | УльтраКлима 501-Ultra | Нет приема данных
16:11:37 | Метео-New | Нет данных
16:11:45 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:11:45 | Микроклимат 501 3 | Нет приема данных
16:12:27 | Микроклимат 501 3 | Нет приема данных
16:12:37 | Метео-New | Нет данных
16:12:54 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:12:54 | УльтраКлима 501-Ultra | Нет приема данных
16:13:33 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:13:33 | Микроклимат 501 3 | Нет приема данных
16:13:37 | Метео-New | Нет данных
16:14:03 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:14:03 | УльтраКлима 501-Ultra | Нет приема данных
16:14:37 | Метео-New | Нет данных
16:14:38 | Микроклимат 501 3 | Нет приема данных
16:15:03 | УльтраКлима 501-Ultra | Нет приема данных
16:15:37 | Метео-New | Нет данных
16:15:45 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:15:45 | Микроклимат 501 3 | Нет приема данных
16:16:27 | Микроклимат 501 3 | Нет приема данных
16:16:37 | Метео-New | Нет данных
16:16:54 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:16:54 | УльтраКлима 501-Ultra | Нет приема данных
16:17:33 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:17:33 | Микроклимат 501 3 | Нет приема данных
16:17:37 | Метео-New | Нет данных
16:18:03 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:18:03 | УльтраКлима 501-Ultra | Нет приема данных
16:18:37 | Метео-New | Нет данных
16:18:38 | Микроклимат 501 3 | Нет приема данных
16:19:03 | УльтраКлима 501-Ultra | Нет приема данных
16:19:37 | Метео-New | Нет данных
16:19:45 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:19:45 | Микроклимат 501 3 | Нет приема данных
16:20:27 | Микроклимат 501 3 | Нет приема данных
16:20:37 | Метео-New | Нет данных
16:20:54 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:20:54 | УльтраКлима 501-Ultra | Нет приема данных
16:21:36 | Микроклимат 501 3 | Нет приема данных
16:21:37 | Метео-New | Нет данных
16:21:38 | MAX-FITO | Закрыт
