10:33:26 | MAX-FITO | Стартовал
10:33:30 | Метео-New | Нет данных
10:33:52 | Микроклимат 501 3 | Авария управления
10:34:02 | Микроклимат 501 3 | Авария управления
10:34:30 | Метео-New | Нет данных
10:35:00 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
10:35:00 | УльтраКлима 501-Ultra | Нет приема данных
10:35:01 | Микроклимат 501 3 | Авария управления
10:35:30 | Метео-New | Нет данных
10:35:51 | MAX-FITO | Закрыт
11:02:03 | MAX-FITO | Стартовал
11:02:08 | Метео-New | Нет данных
11:02:09 | Микроклимат 501 3 | Авария управления
11:02:20 | УльтраКлима 501-Ultra | Invalid class typecast
11:02:22 | УльтраКлима 501-Ultra | Invalid class typecast
11:02:22 | УльтраКлима 501-Ultra | Invalid class typecast
11:02:22 | УльтраКлима 501-Ultra | Invalid class typecast
11:02:26 | УльтраКлима 501-Ultra | Invalid class typecast
11:02:27 | УльтраКлима 501-Ultra | Invalid class typecast
11:02:27 | УльтраКлима 501-Ultra | Invalid class typecast
11:02:27 | УльтраКлима 501-Ultra | Invalid class typecast
11:02:27 | УльтраКлима 501-Ultra | Invalid class typecast
11:02:28 | УльтраКлима 501-Ultra | Invalid class typecast
11:02:30 | MAX-FITO | Закрыт
11:11:33 | MAX-FITO | Стартовал
11:11:38 | Метео-New | Нет данных
11:11:38 | Микроклимат 501 3 | Авария управления
11:12:08 | Микроклимат 501 3 | Авария управления
11:12:19 | MAX-FITO | Закрыт
11:42:15 | MAX-FITO | Стартовал
11:42:17 | MAX-FITO | Закрыт
11:46:12 | MAX-FITO | Стартовал
11:46:17 | Метео-New | Нет данных
11:46:38 | Микроклимат 501 3 | Авария управления
11:46:51 | Микроклимат 501 3 | Авария управления
11:47:17 | Метео-New | Нет данных
11:47:31 | MAX-FITO | Закрыт
12:10:19 | MAX-FITO | Стартовал
12:10:24 | Метео-New | Нет данных
12:11:06 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
12:11:06 | Микроклимат 501 3 | Нет приема данных
12:11:24 | Метео-New | Нет данных
12:11:48 | Микроклимат 501 3 | Нет приема данных
12:11:54 | УльтраКлима 501-Ultra | Управляет
12:12:24 | Метео-New | Нет данных
12:12:36 | Микроклимат 501 3 | Нет приема данных
12:13:21 | Микроклимат 501 3 | Нет приема данных
12:13:24 | Метео-New | Нет данных
12:13:54 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:13:54 | Микроклимат 501 3 | Нет приема данных
12:14:24 | Метео-New | Нет данных
12:14:36 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
12:14:36 | Микроклимат 501 3 | Нет приема данных
12:15:19 | Микроклимат 501 3 | Нет приема данных
12:15:24 | Метео-New | Нет данных
12:15:54 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:15:54 | Микроклимат 501 3 | Нет приема данных
12:16:24 | Метео-New | Нет данных
12:16:42 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
12:16:42 | Микроклимат 501 3 | Нет приема данных
12:17:24 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:17:24 | Микроклимат 501 3 | Нет приема данных
12:17:24 | Метео-New | Нет данных
12:17:39 | MAX-FITO | Закрыт
