0:00:50 | Метео-New | Нет данных
0:01:50 | Метео-New | Нет данных
0:02:50 | Метео-New | Принимает
3:03:55 | Метео-New | Нет данных
8:20:09 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
8:20:10 | Микроклимат 501 3 | Нет приема данных
8:20:10 | Метео-New | Нет данных
8:20:10 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на сокете для недоступного хоста
8:20:10 | Микроклимат 501 3 | Нет приема данных
8:21:09 | Метео-New | Нет данных
8:21:31 | Микроклимат 501 3 | Обратить внимание
8:22:09 | Метео-New | Нет данных
8:23:09 | Метео-New | Нет данных
8:24:09 | Метео-New | Нет данных
8:25:09 | Метео-New | Нет данных
8:26:09 | Метео-New | Нет данных
8:27:09 | Метео-New | Нет данных
8:28:09 | Метео-New | Нет данных
8:29:09 | Метео-New | Нет данных
8:30:09 | Метео-New | Нет данных
8:31:09 | Метео-New | Нет данных
8:32:09 | Метео-New | Нет данных
8:33:09 | Метео-New | Нет данных
8:34:09 | Метео-New | Нет данных
8:35:09 | Метео-New | Нет данных
8:36:09 | Метео-New | Нет данных
8:37:09 | Метео-New | Нет данных
8:38:09 | Метео-New | Нет данных
8:39:09 | Метео-New | Нет данных
8:40:09 | Метео-New | Нет данных
8:41:09 | Метео-New | Нет данных
8:42:09 | Метео-New | Нет данных
8:43:09 | Метео-New | Нет данных
8:44:09 | Метео-New | Нет данных
8:45:09 | Метео-New | Нет данных
8:46:09 | Метео-New | Нет данных
8:47:09 | Метео-New | Нет данных
8:48:09 | Метео-New | Нет данных
8:49:09 | Метео-New | Нет данных
8:50:09 | Метео-New | Нет данных
8:51:09 | Метео-New | Нет данных
8:52:09 | Метео-New | Нет данных
8:53:09 | Метео-New | Нет данных
8:54:09 | Метео-New | Нет данных
8:55:09 | Метео-New | Нет данных
8:56:09 | Метео-New | Нет данных
8:57:09 | Метео-New | Нет данных
8:58:09 | Метео-New | Нет данных
8:59:09 | Метео-New | Нет данных
9:00:09 | Метео-New | Нет данных
9:01:09 | Метео-New | Нет данных
9:02:09 | Метео-New | Нет данных
9:03:09 | Метео-New | Нет данных
9:04:09 | Метео-New | Нет данных
9:05:09 | Метео-New | Нет данных
9:06:09 | Метео-New | Нет данных
9:07:09 | Метео-New | Нет данных
9:08:09 | Метео-New | Нет данных
9:09:09 | Метео-New | Нет данных
9:10:09 | Метео-New | Нет данных
9:11:09 | Метео-New | Нет данных
9:12:09 | Метео-New | Нет данных
9:13:09 | Метео-New | Нет данных
9:14:09 | Метео-New | Нет данных
9:15:09 | Метео-New | Нет данных
9:16:09 | Метео-New | Нет данных
9:17:09 | Метео-New | Нет данных
9:18:09 | Метео-New | Нет данных
9:19:09 | Метео-New | Нет данных
9:20:09 | Метео-New | Нет данных
9:21:09 | Метео-New | Нет данных
9:22:09 | Метео-New | Нет данных
9:23:09 | Метео-New | Нет данных
9:24:09 | Метео-New | Нет данных
9:25:09 | Метео-New | Нет данных
9:26:09 | Метео-New | Нет данных
9:27:09 | Метео-New | Нет данных
9:28:09 | Метео-New | Нет данных
9:29:09 | Метео-New | Нет данных
9:30:09 | Метео-New | Нет данных
9:31:09 | Метео-New | Нет данных
9:32:09 | Метео-New | Нет данных
9:33:09 | Метео-New | Нет данных
9:34:09 | Метео-New | Нет данных
9:35:09 | Метео-New | Нет данных
9:36:09 | Метео-New | Нет данных
9:37:09 | Метео-New | Нет данных
9:38:09 | Метео-New | Нет данных
9:39:09 | Метео-New | Нет данных
9:40:09 | Метео-New | Нет данных
9:41:09 | Метео-New | Нет данных
9:42:09 | Метео-New | Нет данных
9:43:09 | Метео-New | Нет данных
9:44:09 | Метео-New | Нет данных
9:45:09 | Метео-New | Нет данных
9:46:09 | Метео-New | Нет данных
9:47:09 | Метео-New | Нет данных
9:48:09 | Метео-New | Нет данных
9:49:09 | Метео-New | Нет данных
9:50:09 | Метео-New | Нет данных
9:51:09 | Метео-New | Нет данных
9:52:09 | Метео-New | Нет данных
9:53:09 | Метео-New | Нет данных
9:54:09 | Метео-New | Нет данных
9:55:09 | Метео-New | Нет данных
9:56:09 | Метео-New | Нет данных
9:57:09 | Метео-New | Нет данных
9:58:09 | Метео-New | Нет данных
9:59:09 | Метео-New | Нет данных
10:00:09 | Метео-New | Нет данных
10:01:09 | Метео-New | Нет данных
10:02:09 | Метео-New | Нет данных
10:03:09 | Метео-New | Нет данных
10:04:09 | Метео-New | Нет данных
10:05:09 | Метео-New | Нет данных
10:06:09 | Метео-New | Нет данных
10:07:09 | Метео-New | Нет данных
10:07:24 | MAX-FITO | Закрыт
10:20:11 | MAX-FITO | Стартовал
10:20:17 | Микроклимат 501 3 | Обратить внимание
10:21:11 | Метео-New | Нет данных
10:22:11 | Метео-New | Нет данных
10:23:11 | Метео-New | Нет данных
10:24:11 | Метео-New | Нет данных
10:25:11 | Метео-New | Нет данных
10:26:11 | Метео-New | Нет данных
10:27:11 | Метео-New | Нет данных
10:28:11 | Метео-New | Нет данных
10:29:11 | Метео-New | Нет данных
10:30:11 | Метео-New | Нет данных
10:31:11 | Метео-New | Нет данных
10:32:11 | Метео-New | Нет данных
10:33:11 | Метео-New | Нет данных
10:34:11 | Метео-New | Нет данных
10:35:11 | Метео-New | Нет данных
10:36:11 | Метео-New | Нет данных
10:37:11 | Метео-New | Нет данных
10:38:11 | Метео-New | Нет данных
10:39:11 | Метео-New | Нет данных
10:40:11 | Метео-New | Нет данных
10:41:11 | Метео-New | Нет данных
10:42:11 | Метео-New | Нет данных
10:42:54 | Микроклимат 501-0 | Обратить внимание
10:43:11 | Метео-New | Нет данных
10:44:11 | Метео-New | Нет данных
10:45:11 | Метео-New | Нет данных
10:46:11 | Метео-New | Нет данных
10:47:11 | Метео-New | Нет данных
10:47:56 | MAX-FITO | Закрыт
11:11:30 | MAX-FITO | Стартовал
11:11:34 | Микроклимат 501 3 | Обратить внимание
11:11:34 | Метео-New | Нет данных
11:12:30 | MAX-FITO | Закрыт
11:44:17 | MAX-FITO | Стартовал
11:44:22 | Метео-New | Нет данных
11:44:22 | Микроклимат 501 3 | Авария управления
11:45:17 | Микроклимат 501-0 | Авария управления
11:45:22 | Метео-New | Нет данных
11:45:22 | Микроклимат 501 3 | Авария управления
11:46:17 | Микроклимат 501-0 | Авария управления
11:46:22 | Метео-New | Нет данных
11:46:27 | Микроклимат 501 3 | Авария управления
11:47:17 | Микроклимат 501-0 | Авария управления
11:47:22 | Метео-New | Нет данных
11:47:27 | Микроклимат 501 3 | Авария управления
11:48:17 | Микроклимат 501-0 | Авария управления
11:48:22 | Метео-New | Нет данных
11:48:22 | Микроклимат 501 3 | Авария управления
11:49:17 | Микроклимат 501-0 | Авария управления
11:49:22 | Метео-New | Нет данных
11:49:22 | Микроклимат 501 3 | Авария управления
11:50:22 | Метео-New | Нет данных
11:50:25 | Микроклимат 501-0 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
11:50:25 | Микроклимат 501-0 | Нет приема данных
11:50:26 | Микроклимат 501 3 | Авария управления
11:51:22 | Метео-New | Нет данных
11:51:27 | Микроклимат 501-0 | Состояние климата - 192.168.1.244:2012-Обменов2 Программа на вашем хост-компьютере разорвала установленное подключение
11:51:27 | Микроклимат 501-0 | Нет приема данных
11:51:28 | Микроклимат 501 3 | Авария управления
11:52:17 | Микроклимат 501-0 | Авария управления
11:52:22 | Метео-New | Нет данных
11:52:28 | Микроклимат 501 3 | Авария управления
11:53:17 | Микроклимат 501-0 | Авария управления
11:53:22 | Метео-New | Нет данных
11:53:29 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
11:53:29 | Микроклимат 501 3 | Нет приема данных
11:54:17 | Микроклимат 501-0 | Авария управления
11:54:22 | Метео-New | Нет данных
11:54:22 | Микроклимат 501 3 | Авария управления
11:55:22 | Метео-New | Нет данных
11:55:22 | Микроклимат 501-0 | Авария управления
11:55:23 | Микроклимат 501 3 | Авария управления
11:56:17 | Микроклимат 501-0 | Авария управления
11:56:22 | Метео-New | Нет данных
11:56:22 | Микроклимат 501 3 | Авария управления
11:57:18 | Микроклимат 501-0 | Авария управления
11:57:22 | Метео-New | Нет данных
11:57:22 | Микроклимат 501 3 | Авария управления
11:58:17 | Микроклимат 501-0 | Авария управления
11:58:22 | Метео-New | Нет данных
11:58:22 | Микроклимат 501 3 | Авария управления
11:59:17 | Микроклимат 501-0 | Авария управления
11:59:22 | Метео-New | Нет данных
11:59:22 | Микроклимат 501 3 | Авария управления
12:00:17 | Микроклимат 501-0 | Авария управления
12:00:22 | Метео-New | Нет данных
12:00:22 | Микроклимат 501 3 | Авария управления
12:01:17 | Микроклимат 501-0 | Авария управления
12:01:22 | Метео-New | Нет данных
12:01:27 | Микроклимат 501 3 | Авария управления
12:02:22 | Метео-New | Нет данных
12:02:27 | Микроклимат 501-0 | Состояние климата - 192.168.1.244:2012-Обменов2 Программа на вашем хост-компьютере разорвала установленное подключение
12:02:27 | Микроклимат 501-0 | Нет приема данных
12:02:28 | Микроклимат 501 3 | Авария управления
12:03:22 | Метео-New | Нет данных
12:03:22 | Микроклимат 501-0 | Обратить внимание
12:03:23 | Микроклимат 501 3 | Обратить внимание
12:04:22 | Метео-New | Нет данных
12:04:32 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Программа на вашем хост-компьютере разорвала установленное подключение
12:04:32 | Микроклимат 501 3 | Нет приема данных
12:05:22 | Метео-New | Нет данных
