10:16:29 | MAX-FITO | Стартовал
10:16:34 | Метео-New | Нет данных
10:16:45 | Измеритель веса и дренажа 501-0 | Демо режим
10:17:20 | Микроклимат 501 3 | Авария управления
10:17:30 | Микроклимат 501 3 | Авария управления
10:17:34 | Метео-New | Нет данных
10:17:59 | Микроклимат 501 3 | Авария управления
10:18:29 | Микроклимат 501 3 | Авария управления
10:18:34 | Метео-New | Нет данных
10:18:59 | Микроклимат 501 3 | Авария управления
10:19:34 | Метео-New | Нет данных
10:19:34 | Микроклимат 501 3 | Авария управления
10:19:59 | Микроклимат 501 3 | Авария управления
10:20:29 | Микроклимат 501 3 | Авария управления
10:20:34 | Метео-New | Нет данных
10:21:04 | Микроклимат 501 3 | Авария управления
10:21:29 | Микроклимат 501 3 | Авария управления
10:21:34 | Метео-New | Нет данных
10:21:59 | Микроклимат 501 3 | Авария управления
10:22:34 | Метео-New | Нет данных
10:22:34 | Микроклимат 501 3 | Авария управления
10:22:59 | Микроклимат 501 3 | Авария управления
10:23:29 | Микроклимат 501 3 | Авария управления
10:23:34 | Метео-New | Нет данных
10:23:59 | Микроклимат 501 3 | Авария управления
10:24:29 | Микроклимат 501 3 | Авария управления
10:24:34 | Метео-New | Нет данных
10:24:59 | Микроклимат 501 3 | Авария управления
10:25:34 | Метео-New | Нет данных
10:25:35 | Микроклимат 501 3 | Авария управления
10:26:04 | Микроклимат 501 3 | Авария управления
10:26:29 | Микроклимат 501 3 | Авария управления
10:26:34 | Метео-New | Нет данных
10:26:59 | Микроклимат 501 3 | Авария управления
10:27:29 | Микроклимат 501 3 | Авария управления
10:27:34 | Метео-New | Нет данных
10:27:59 | Микроклимат 501 3 | Авария управления
10:28:29 | Микроклимат 501 3 | Авария управления
10:28:34 | Метео-New | Нет данных
10:28:59 | Микроклимат 501 3 | Авария управления
10:29:34 | Метео-New | Нет данных
10:29:34 | Микроклимат 501 3 | Авария управления
10:30:05 | Микроклимат 501 3 | Авария управления
10:30:29 | Микроклимат 501 3 | Авария управления
10:30:34 | Метео-New | Нет данных
10:30:59 | Микроклимат 501 3 | Авария управления
10:31:29 | Микроклимат 501 3 | Авария управления
10:31:34 | Метео-New | Нет данных
10:31:59 | Микроклимат 501 3 | Авария управления
10:32:29 | Микроклимат 501 3 | Авария управления
10:32:34 | Метео-New | Нет данных
10:32:59 | Микроклимат 501 3 | Авария управления
10:33:34 | Метео-New | Нет данных
10:33:35 | Микроклимат 501 3 | Авария управления
10:33:59 | Микроклимат 501 3 | Авария управления
10:34:29 | Микроклимат 501 3 | Авария управления
10:34:34 | Метео-New | Нет данных
10:35:04 | Микроклимат 501 3 | Авария управления
10:35:29 | Микроклимат 501 3 | Авария управления
10:35:34 | Метео-New | Нет данных
10:36:05 | Микроклимат 501 3 | Авария управления
10:36:29 | Микроклимат 501 3 | Авария управления
10:36:34 | Метео-New | Нет данных
10:36:59 | Микроклимат 501 3 | Авария управления
10:37:29 | Микроклимат 501 3 | Авария управления
10:37:34 | Метео-New | Нет данных
10:37:59 | Микроклимат 501 3 | Авария управления
10:38:29 | Микроклимат 501 3 | Авария управления
10:38:34 | Метео-New | Нет данных
10:39:04 | Микроклимат 501 3 | Авария управления
10:39:29 | Микроклимат 501 3 | Авария управления
10:39:34 | Метео-New | Нет данных
10:40:04 | Микроклимат 501 3 | Авария управления
10:40:34 | Метео-New | Нет данных
10:40:35 | Микроклимат 501 3 | Авария управления
10:40:59 | Микроклимат 501 3 | Авария управления
10:41:29 | Микроклимат 501 3 | Авария управления
10:41:34 | Метео-New | Нет данных
10:41:59 | Микроклимат 501 3 | Авария управления
10:42:29 | Микроклимат 501 3 | Авария управления
10:42:34 | Метео-New | Нет данных
10:42:59 | Микроклимат 501 3 | Авария управления
10:43:29 | Микроклимат 501 3 | Авария управления
10:43:34 | Метео-New | Нет данных
10:43:59 | Микроклимат 501 3 | Авария управления
10:44:34 | Метео-New | Нет данных
10:44:34 | Микроклимат 501 3 | Авария управления
10:45:05 | Микроклимат 501 3 | Авария управления
10:45:34 | Метео-New | Нет данных
10:45:35 | Микроклимат 501 3 | Авария управления
10:45:59 | Микроклимат 501 3 | Авария управления
10:46:29 | Микроклимат 501 3 | Авария управления
10:46:34 | Метео-New | Нет данных
10:46:59 | Микроклимат 501 3 | Авария управления
10:47:29 | Микроклимат 501 3 | Авария управления
10:47:34 | Метео-New | Нет данных
10:47:59 | Микроклимат 501 3 | Авария управления
10:48:05 | MAX-FITO | Закрыт
