11:09:35 | MAX-FITO | Стартовал
11:09:39 | MAX-FITO | Закрыт
11:10:36 | MAX-FITO | Стартовал
11:11:01 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:11:01 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:11:02 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:11:02 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:11:02 | Микроклимат 501 3 | Авария управления
11:11:13 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:11:13 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:11:13 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:11:13 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:11:13 | Микроклимат 501 3 | Авария управления
11:11:28 | MAX-FITO | Закрыт
11:17:45 | MAX-FITO | Стартовал
11:17:50 | Метео-New | Нет данных
11:18:16 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:18:16 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:18:16 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:18:16 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:18:16 | Микроклимат 501 3 | Авария управления
11:18:21 | MAX-FITO | Закрыт
11:18:32 | MAX-FITO | Стартовал
11:18:37 | Метео-New | Нет данных
11:19:03 | Микроклимат 501 3 | Авария управления
11:19:15 | MAX-FITO | Закрыт
11:23:32 | MAX-FITO | Стартовал
11:23:37 | Метео-New | Нет данных
11:23:47 | MAX-FITO | Закрыт
11:28:05 | MAX-FITO | Стартовал
11:28:09 | MAX-FITO | Закрыт
11:33:29 | MAX-FITO | Стартовал
11:33:33 | Метео-New | Нет данных
11:33:58 | Микроклимат 501 3 | Авария управления
11:34:03 | УльтраКлима 501-0 | Демо режим
11:34:28 | Микроклимат 501 3 | Авария управления
11:34:33 | Метео-New | Нет данных
11:34:58 | Микроклимат 501 3 | Авария управления
11:35:29 | Микроклимат 501 3 | Авария управления
11:35:33 | Метео-New | Нет данных
11:35:58 | Микроклимат 501 3 | Авария управления
11:36:33 | Метео-New | Нет данных
11:36:34 | Микроклимат 501 3 | Авария управления
11:36:58 | Микроклимат 501 3 | Авария управления
11:37:28 | Микроклимат 501 3 | Авария управления
11:37:33 | Метео-New | Нет данных
11:37:58 | Микроклимат 501 3 | Авария управления
11:38:29 | Микроклимат 501 3 | Авария управления
11:38:33 | Метео-New | Нет данных
11:38:58 | Микроклимат 501 3 | Авария управления
11:39:28 | Микроклимат 501 3 | Авария управления
11:39:33 | Метео-New | Нет данных
11:39:58 | Микроклимат 501 3 | Авария управления
