11:27:18 | MAX-FITO | Стартовал
11:27:22 | Метео-New | Нет данных
11:28:05 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
11:28:05 | УльтраКлима 501-Ultra | Нет приема данных
11:28:22 | Метео-New | Нет данных
11:28:24 | MAX-FITO | Закрыт
11:30:08 | MAX-FITO | Стартовал
11:30:12 | Метео-New | Нет данных
11:30:54 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
11:30:54 | УльтраКлима 501-Ultra | Нет приема данных
11:31:12 | Метео-New | Нет данных
11:31:37 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
11:31:37 | Микроклимат 501 3 | Нет приема данных
11:32:07 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
11:32:07 | Микроклимат 501 3 | Нет приема данных
11:32:12 | Метео-New | Нет данных
11:32:37 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
11:32:38 | УльтраКлима 501-Ultra | Нет приема данных
11:33:12 | Метео-New | Нет данных
11:33:12 | Микроклимат 501 3 | Нет приема данных
11:33:37 | УльтраКлима 501-Ultra | Нет приема данных
11:33:52 | MAX-FITO | Закрыт
11:47:21 | MAX-FITO | Стартовал
11:47:26 | Метео-New | Нет данных
11:47:34 | MAX-FITO | Закрыт
11:49:14 | MAX-FITO | Стартовал
11:49:19 | Метео-New | Нет данных
11:49:19 | MAX-FITO | Закрыт
11:52:49 | MAX-FITO | Стартовал
11:52:53 | MAX-FITO | Закрыт
11:55:36 | MAX-FITO | Стартовал
11:55:41 | Метео-New | Нет данных
11:55:45 | MAX-FITO | Закрыт
11:57:18 | MAX-FITO | Стартовал
11:57:20 | MAX-FITO | Закрыт
12:51:57 | MAX-FITO | Стартовал
12:52:01 | Метео-New | Нет данных
12:52:44 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
12:52:44 | УльтраКлима 501-Ultra | Нет приема данных
12:53:01 | Метео-New | Нет данных
12:53:18 | Микроклимат 501 3 | Конфигурация оборудования - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
12:53:48 | Микроклимат 501 3 | Авария управления
12:54:01 | Метео-New | Нет данных
12:54:24 | MAX-FITO | Закрыт
13:50:48 | MAX-FITO | Стартовал
13:50:53 | Метео-New | Нет данных
13:51:09 | MAX-FITO | Закрыт
13:51:23 | MAX-FITO | Стартовал
13:51:27 | Метео-New | Нет данных
13:51:32 | MAX-FITO | Закрыт
13:51:54 | MAX-FITO | Стартовал
13:51:58 | Метео-New | Нет данных
13:52:05 | MAX-FITO | Закрыт
13:52:41 | MAX-FITO | Стартовал
13:52:45 | Метео-New | Нет данных
13:53:03 | MAX-FITO | Закрыт
13:53:35 | MAX-FITO | Стартовал
13:53:39 | Метео-New | Нет данных
13:53:45 | MAX-FITO | Закрыт
13:55:18 | MAX-FITO | Стартовал
13:55:23 | Метео-New | Нет данных
13:55:28 | MAX-FITO | Закрыт
13:56:43 | MAX-FITO | Стартовал
13:56:47 | Метео-New | Нет данных
13:57:21 | MAX-FITO | Закрыт
14:03:13 | MAX-FITO | Стартовал
14:03:17 | Метео-New | Нет данных
14:03:29 | MAX-FITO | Закрыт
15:01:20 | MAX-FITO | Стартовал
15:01:24 | Метео-New | Нет данных
15:01:38 | MAX-FITO | Закрыт
15:43:29 | MAX-FITO | Стартовал
15:43:34 | Метео-New | Нет данных
15:43:45 | MAX-FITO | Закрыт
15:44:21 | MAX-FITO | Стартовал
15:44:26 | Метео-New | Нет данных
15:44:43 | MAX-FITO | Закрыт
15:45:24 | MAX-FITO | Стартовал
15:45:28 | Метео-New | Нет данных
15:46:11 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
15:46:11 | УльтраКлима 501-Ultra | Нет приема данных
15:46:28 | Метео-New | Нет данных
15:46:53 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
15:46:53 | Микроклимат 501 3 | Нет приема данных
15:47:24 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
15:47:24 | Микроклимат 501 3 | Нет приема данных
15:47:28 | Метео-New | Нет данных
15:47:54 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
15:47:54 | УльтраКлима 501-Ultra | Нет приема данных
15:48:28 | Метео-New | Нет данных
15:48:29 | Микроклимат 501 3 | Нет приема данных
15:48:54 | УльтраКлима 501-Ultra | Нет приема данных
15:49:28 | Метео-New | Нет данных
15:49:36 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
15:49:36 | Микроклимат 501 3 | Нет приема данных
15:50:18 | Микроклимат 501 3 | Нет приема данных
15:50:28 | Метео-New | Нет данных
15:50:45 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
15:50:45 | УльтраКлима 501-Ultra | Нет приема данных
15:51:24 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
15:51:24 | Микроклимат 501 3 | Нет приема данных
15:51:28 | Метео-New | Нет данных
15:51:54 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
15:51:54 | УльтраКлима 501-Ultra | Нет приема данных
15:52:28 | Метео-New | Нет данных
15:52:29 | Микроклимат 501 3 | Нет приема данных
15:52:54 | УльтраКлима 501-Ultra | Нет приема данных
15:53:28 | Метео-New | Нет данных
15:53:36 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
15:53:36 | Микроклимат 501 3 | Нет приема данных
15:54:18 | Микроклимат 501 3 | Нет приема данных
15:54:28 | Метео-New | Нет данных
15:54:45 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
15:54:45 | УльтраКлима 501-Ultra | Нет приема данных
15:55:24 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
15:55:24 | Микроклимат 501 3 | Нет приема данных
15:55:28 | Метео-New | Нет данных
15:55:54 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
15:55:54 | УльтраКлима 501-Ultra | Нет приема данных
15:56:28 | Метео-New | Нет данных
15:56:29 | Микроклимат 501 3 | Нет приема данных
15:56:54 | УльтраКлима 501-Ultra | Нет приема данных
15:57:28 | Метео-New | Нет данных
15:57:36 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
15:57:36 | Микроклимат 501 3 | Нет приема данных
15:57:58 | Микроклимат 501 3 | Авария управления
15:58:24 | УльтраКлима 501-Ultra | Нет приема данных
15:58:24 | Микроклимат 501 3 | Авария управления
15:58:28 | Метео-New | Нет данных
15:59:11 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
15:59:11 | УльтраКлима 501-Ultra | Нет приема данных
15:59:11 | Микроклимат 501 3 | Авария управления
15:59:24 | Микроклимат 501 3 | Авария управления
15:59:28 | Метео-New | Нет данных
16:00:11 | УльтраКлима 501-Ultra | Нет приема данных
16:00:11 | Микроклимат 501 3 | Авария управления
16:00:28 | Метео-New | Нет данных
16:00:29 | Микроклимат 501 3 | Авария управления
16:01:11 | УльтраКлима 501-Ultra | Нет приема данных
16:01:12 | Микроклимат 501 3 | Авария управления
16:01:24 | Микроклимат 501 3 | Авария управления
16:01:28 | Метео-New | Нет данных
16:02:11 | УльтраКлима 501-Ultra | Нет приема данных
16:02:11 | Микроклимат 501 3 | Авария управления
16:02:24 | Микроклимат 501 3 | Авария управления
16:02:28 | Метео-New | Нет данных
16:03:11 | УльтраКлима 501-Ultra | Нет приема данных
16:03:11 | Микроклимат 501 3 | Авария управления
16:03:24 | Микроклимат 501 3 | Авария управления
16:03:28 | Метео-New | Нет данных
16:04:11 | УльтраКлима 501-Ultra | Нет приема данных
16:04:16 | Микроклимат 501 3 | Авария управления
16:04:24 | Микроклимат 501 3 | Авария управления
16:04:28 | Метео-New | Нет данных
16:05:11 | УльтраКлима 501-Ultra | Нет приема данных
16:05:11 | Микроклимат 501 3 | Авария управления
16:05:24 | Микроклимат 501 3 | Авария управления
16:05:28 | Метео-New | Нет данных
16:06:11 | УльтраКлима 501-Ultra | Нет приема данных
16:06:11 | Микроклимат 501 3 | Авария управления
16:06:24 | Микроклимат 501 3 | Авария управления
16:06:28 | Метео-New | Нет данных
16:07:11 | УльтраКлима 501-Ultra | Нет приема данных
16:07:17 | Микроклимат 501 3 | Авария управления
16:07:24 | Микроклимат 501 3 | Авария управления
16:07:28 | Метео-New | Нет данных
16:08:11 | УльтраКлима 501-Ultra | Нет приема данных
16:08:11 | Микроклимат 501 3 | Авария управления
16:08:24 | Микроклимат 501 3 | Авария управления
16:08:28 | Метео-New | Нет данных
16:09:11 | УльтраКлима 501-Ultra | Нет приема данных
16:09:21 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Программа на вашем хост-компьютере разорвала установленное подключение
16:09:21 | Микроклимат 501 3 | Нет приема данных
16:09:24 | Микроклимат 501 3 | Авария управления
16:09:28 | Метео-New | Нет данных
16:10:11 | УльтраКлима 501-Ultra | Нет приема данных
16:10:17 | Микроклимат 501 3 | Авария управления
16:10:24 | Микроклимат 501 3 | Авария управления
16:10:28 | Метео-New | Нет данных
16:11:11 | УльтраКлима 501-Ultra | Нет приема данных
16:11:11 | Микроклимат 501 3 | Авария управления
16:11:24 | Микроклимат 501 3 | Авария управления
16:11:28 | Метео-New | Нет данных
16:12:11 | УльтраКлима 501-Ultra | Нет приема данных
16:12:21 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Программа на вашем хост-компьютере разорвала установленное подключение
16:12:21 | Микроклимат 501 3 | Нет приема данных
16:12:28 | Метео-New | Нет данных
16:12:29 | Микроклимат 501 3 | Авария управления
16:13:11 | УльтраКлима 501-Ultra | Нет приема данных
16:13:12 | Микроклимат 501 3 | Авария управления
16:13:24 | Микроклимат 501 3 | Авария управления
16:13:28 | Метео-New | Нет данных
16:14:11 | УльтраКлима 501-Ultra | Нет приема данных
16:14:11 | Микроклимат 501 3 | Авария управления
16:14:24 | Микроклимат 501 3 | Авария управления
16:14:28 | Метео-New | Нет данных
16:15:11 | УльтраКлима 501-Ultra | Нет приема данных
16:15:11 | Микроклимат 501 3 | Авария управления
16:15:24 | Микроклимат 501 3 | Авария управления
16:15:28 | Метео-New | Нет данных
16:16:11 | Микроклимат 501 3 | Авария управления
16:16:24 | Микроклимат 501 3 | Авария управления
16:16:28 | Метео-New | Нет данных
16:16:35 | MAX-FITO | Закрыт
16:17:21 | MAX-FITO | Стартовал
16:17:26 | Метео-New | Нет данных
16:17:52 | Микроклимат 501 3 | Авария управления
16:18:22 | Микроклимат 501 3 | Авария управления
16:18:26 | Метео-New | Нет данных
16:18:52 | Микроклимат 501 3 | Авария управления
16:19:22 | Микроклимат 501 3 | Авария управления
16:19:26 | Метео-New | Нет данных
16:19:52 | Микроклимат 501 3 | Авария управления
16:20:22 | Микроклимат 501 3 | Авария управления
16:20:26 | Метео-New | Нет данных
16:20:40 | MAX-FITO | Закрыт
16:21:45 | MAX-FITO | Стартовал
16:21:49 | Метео-New | Нет данных
16:22:02 | MAX-FITO | Закрыт
16:23:11 | MAX-FITO | Стартовал
16:23:16 | Метео-New | Нет данных
16:23:42 | Микроклимат 501 3 | Авария управления
16:24:12 | Микроклимат 501 3 | Авария управления
16:24:16 | Метео-New | Нет данных
16:24:42 | Микроклимат 501 3 | Авария управления
16:25:12 | Микроклимат 501 3 | Авария управления
16:25:16 | Метео-New | Нет данных
16:25:42 | Микроклимат 501 3 | Авария управления
16:26:12 | Микроклимат 501 3 | Авария управления
16:26:16 | Метео-New | Нет данных
16:26:47 | Микроклимат 501 3 | Авария управления
16:27:16 | Метео-New | Нет данных
16:27:17 | Микроклимат 501 3 | Авария управления
16:27:42 | Микроклимат 501 3 | Авария управления
16:28:16 | Метео-New | Нет данных
16:28:17 | Микроклимат 501 3 | Авария управления
16:28:42 | Микроклимат 501 3 | Авария управления
16:29:12 | Микроклимат 501 3 | Авария управления
16:29:16 | Метео-New | Нет данных
16:29:42 | Микроклимат 501 3 | Авария управления
16:30:12 | Микроклимат 501 3 | Авария управления
16:30:16 | Метео-New | Нет данных
16:30:42 | Микроклимат 501 3 | Авария управления
16:31:16 | Метео-New | Нет данных
16:31:17 | Микроклимат 501 3 | Авария управления
16:31:47 | Микроклимат 501 3 | Авария управления
16:32:12 | Микроклимат 501 3 | Авария управления
16:32:16 | Метео-New | Нет данных
16:32:42 | Микроклимат 501 3 | Авария управления
16:33:12 | Микроклимат 501 3 | Авария управления
16:33:16 | Метео-New | Нет данных
16:33:42 | Микроклимат 501 3 | Авария управления
16:34:16 | Метео-New | Нет данных
16:34:17 | Микроклимат 501 3 | Авария управления
16:34:42 | Микроклимат 501 3 | Авария управления
16:35:16 | Метео-New | Нет данных
16:35:17 | Микроклимат 501 3 | Авария управления
16:35:42 | Микроклимат 501 3 | Авария управления
16:36:12 | Микроклимат 501 3 | Авария управления
16:36:16 | Метео-New | Нет данных
16:36:38 | MAX-FITO | Закрыт
16:58:16 | MAX-FITO | Стартовал
16:58:21 | Метео-New | Нет данных
16:58:47 | Микроклимат 501 3 | Авария управления
16:59:17 | Микроклимат 501 3 | Авария управления
16:59:21 | Метео-New | Нет данных
16:59:48 | Микроклимат 501 3 | Авария управления
17:00:21 | Метео-New | Нет данных
17:00:25 | Микроклимат 501 3 | Авария управления
17:00:47 | Микроклимат 501 3 | Авария управления
17:01:21 | Метео-New | Нет данных
17:01:35 | Микроклимат 501 3 | Авария управления
17:01:47 | Микроклимат 501 3 | Авария управления
17:02:17 | Микроклимат 501 3 | Авария управления
17:02:21 | Метео-New | Нет данных
17:02:47 | Микроклимат 501 3 | Авария управления
17:03:17 | Микроклимат 501 3 | Авария управления
17:03:21 | Метео-New | Нет данных
17:03:47 | Микроклимат 501 3 | Авария управления
17:04:17 | Микроклимат 501 3 | Авария управления
17:04:21 | Метео-New | Нет данных
17:04:47 | Микроклимат 501 3 | Авария управления
17:05:17 | Микроклимат 501 3 | Авария управления
17:05:21 | Метео-New | Нет данных
17:05:47 | Микроклимат 501 3 | Авария управления
17:06:17 | Микроклимат 501 3 | Авария управления
17:06:21 | Метео-New | Нет данных
17:06:47 | Микроклимат 501 3 | Авария управления
17:07:17 | Микроклимат 501 3 | Авария управления
17:07:21 | Метео-New | Нет данных
17:07:47 | Микроклимат 501 3 | Авария управления
17:08:17 | Микроклимат 501 3 | Авария управления
17:08:21 | Метео-New | Нет данных
17:08:47 | Микроклимат 501 3 | Авария управления
17:09:21 | Метео-New | Нет данных
17:09:58 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
17:09:58 | Микроклимат 501 3 | Нет приема данных
17:09:59 | Микроклимат 501 3 | Авария управления
17:10:17 | Микроклимат 501 3 | Авария управления
17:10:21 | Метео-New | Нет данных
17:10:47 | Микроклимат 501 3 | Авария управления
17:11:17 | Микроклимат 501 3 | Авария управления
17:11:21 | Метео-New | Нет данных
17:11:47 | Микроклимат 501 3 | Авария управления
17:12:17 | Микроклимат 501 3 | Авария управления
17:12:21 | Метео-New | Нет данных
17:12:52 | Микроклимат 501 3 | Авария управления
17:13:17 | Микроклимат 501 3 | Авария управления
17:13:21 | Метео-New | Нет данных
17:13:47 | Микроклимат 501 3 | Авария управления
17:14:17 | Микроклимат 501 3 | Авария управления
17:14:21 | Метео-New | Нет данных
17:14:47 | Микроклимат 501 3 | Авария управления
17:15:17 | Микроклимат 501 3 | Авария управления
17:15:21 | Метео-New | Нет данных
17:16:03 | MAX-FITO | Стартовал
17:16:07 | Метео-New | Нет данных
17:16:12 | MAX-FITO | Закрыт
