15:41:00 | MAX-FITO | Стартовал
15:41:05 | Метео-New | Нет данных
15:42:01 | Микроклимат 501 3 | Обратить внимание
15:42:05 | Метео-New | Нет данных
15:42:36 | MAX-FITO | Закрыт
15:52:47 | MAX-FITO | Стартовал
15:52:52 | Метео-New | Нет данных
15:53:01 | MAX-FITO | Закрыт
15:55:41 | MAX-FITO | Стартовал
15:55:46 | Метео-New | Нет данных
15:55:59 | MAX-FITO | Закрыт
15:56:36 | MAX-FITO | Стартовал
15:56:41 | Метео-New | Нет данных
15:57:37 | Микроклимат 501 3 | Обратить внимание
15:57:41 | Метео-New | Нет данных
15:57:55 | MAX-FITO | Закрыт
16:01:10 | MAX-FITO | Стартовал
16:01:14 | Метео-New | Нет данных
16:02:10 | Микроклимат 501 3 | Обратить внимание
16:02:12 | MAX-FITO | Закрыт
16:06:00 | MAX-FITO | Стартовал
16:06:05 | Метео-New | Нет данных
16:06:21 | MAX-FITO | Закрыт
16:08:33 | MAX-FITO | Стартовал
16:08:38 | Метео-New | Нет данных
16:09:06 | MAX-FITO | Закрыт
16:09:47 | MAX-FITO | Стартовал
16:09:52 | Метео-New | Нет данных
16:10:45 | MAX-FITO | Закрыт
16:11:52 | MAX-FITO | Стартовал
16:11:58 | Метео-New | Нет данных
16:12:18 | MAX-FITO | Закрыт
16:12:42 | MAX-FITO | Стартовал
16:12:47 | Метео-New | Нет данных
16:13:07 | MAX-FITO | Закрыт
16:14:25 | MAX-FITO | Стартовал
16:14:30 | Метео-New | Нет данных
16:15:04 | MAX-FITO | Закрыт
16:16:01 | MAX-FITO | Стартовал
16:16:06 | Метео-New | Нет данных
16:16:44 | MAX-FITO | Закрыт
16:19:46 | MAX-FITO | Стартовал
16:19:51 | Метео-New | Нет данных
16:20:46 | Микроклимат 501 3 | Обратить внимание
16:20:51 | Метео-New | Нет данных
16:21:11 | MAX-FITO | Закрыт
16:30:51 | MAX-FITO | Стартовал
16:30:55 | Метео-New | Нет данных
16:31:51 | Микроклимат 501 3 | Обратить внимание
16:31:55 | Метео-New | Нет данных
16:32:55 | Метео-New | Нет данных
16:33:55 | Метео-New | Нет данных
16:34:55 | Метео-New | Нет данных
16:35:55 | Метео-New | Нет данных
16:36:20 | MAX-FITO | Закрыт
17:17:49 | MAX-FITO | Стартовал
17:17:54 | Метео-New | Нет данных
17:18:01 | MAX-FITO | Закрыт
17:19:01 | MAX-FITO | Стартовал
17:19:05 | Метео-New | Нет данных
17:20:01 | Микроклимат 501 3 | Обратить внимание
17:20:05 | Метео-New | Нет данных
17:21:05 | Метео-New | Нет данных
17:22:05 | Метео-New | Нет данных
17:22:06 | Микроклимат 501 3 | Авария управления
17:23:02 | Микроклимат 501 3 | Управляет
17:23:05 | Метео-New | Нет данных
17:24:02 | Микроклимат 501 3 | Обратить внимание
17:24:05 | Метео-New | Нет данных
17:25:06 | Метео-New | Нет данных
17:26:06 | Метео-New | Нет данных
17:27:06 | Метео-New | Нет данных
17:28:05 | Метео-New | Нет данных
17:29:05 | MAX-FITO | Закрыт
17:30:56 | MAX-FITO | Стартовал
17:31:00 | MAX-FITO | Закрыт
17:37:04 | MAX-FITO | Стартовал
17:37:08 | Метео-New | Нет данных
17:38:04 | Микроклимат 501 3 | Обратить внимание
17:38:09 | Метео-New | Нет данных
17:39:09 | Метео-New | Нет данных
17:40:14 | Метео-New | Нет данных
17:41:14 | Метео-New | Нет данных
17:42:14 | Метео-New | Нет данных
17:43:14 | Метео-New | Нет данных
17:44:14 | Метео-New | Нет данных
17:45:14 | Метео-New | Нет данных
17:46:14 | Метео-New | Нет данных
17:47:14 | Метео-New | Нет данных
17:47:45 | MAX-FITO | Закрыт
