12:09:08 | MAX-FITO | Стартовал
12:09:13 | Метео-New | Нет данных
12:10:09 | УльтраКлима 501-0 | Управляет
12:10:10 | Микроклимат 501 3 | Управляет
12:10:14 | Метео-New | Нет данных
12:10:34 | Микроклимат 501-0 | Управляет
12:11:13 | Метео-New | Нет данных
12:12:03 | MAX-FITO | Закрыт
12:12:27 | MAX-FITO | Стартовал
12:12:31 | Метео-New | Нет данных
12:12:32 | Микроклимат 501 3 | Управляет
12:12:32 | Микроклимат 501-0 | Управляет
12:13:28 | УльтраКлима 501-0 | Управляет
12:13:28 | MAX-FITO | Закрыт
12:13:51 | MAX-FITO | Стартовал
12:13:55 | Метео-New | Нет данных
12:13:55 | Микроклимат 501 3 | Управляет
12:13:57 | Микроклимат 501-0 | Управляет
12:14:51 | УльтраКлима 501-0 | Управляет
12:14:55 | Метео-New | Нет данных
12:15:55 | Метео-New | Нет данных
12:16:54 | MAX-FITO | Закрыт
12:26:56 | MAX-FITO | Стартовал
12:27:00 | Метео-New | Нет данных
12:27:00 | Микроклимат 501 3 | Управляет
12:27:01 | Микроклимат 501-0 | Управляет
12:27:37 | MAX-FITO | Закрыт
12:29:01 | MAX-FITO | Стартовал
12:29:04 | Метео-New | Нет данных
12:29:05 | Микроклимат 501 3 | Управляет
12:29:05 | УльтраКлима 501-0 | Управляет
12:29:32 | MAX-FITO | Закрыт
12:29:40 | MAX-FITO | Стартовал
12:29:44 | Метео-New | Нет данных
12:29:45 | Микроклимат 501 3 | Управляет
12:29:45 | УльтраКлима 501-0 | Управляет
12:30:40 | Микроклимат 501-0 | Управляет
12:30:44 | Метео-New | Нет данных
12:31:44 | Метео-New | Нет данных
12:32:44 | Метео-New | Нет данных
12:33:35 | MAX-FITO | Закрыт
12:37:06 | MAX-FITO | Стартовал
12:37:10 | Метео-New | Нет данных
12:37:10 | Микроклимат 501 3 | Авария управления
12:37:12 | Микроклимат 501-0 | Управляет
12:38:07 | УльтраКлима 501-0 | Управляет
12:38:10 | Микроклимат 501 3 | Авария управления
12:38:10 | Метео-New | Нет данных
12:38:21 | MAX-FITO | Закрыт
12:42:56 | MAX-FITO | Стартовал
12:43:00 | Метео-New | Нет данных
12:43:01 | УльтраКлима 501-0 | Управляет
12:43:01 | Микроклимат 501-0 | Управляет
12:43:57 | Микроклимат 501 3 | Авария управления
12:44:00 | Метео-New | Нет данных
12:44:57 | Микроклимат 501 3 | Авария управления
12:45:00 | Метео-New | Нет данных
12:45:57 | Микроклимат 501 3 | Авария управления
12:46:00 | Метео-New | Нет данных
12:46:57 | Микроклимат 501 3 | Авария управления
12:47:00 | Метео-New | Нет данных
12:47:04 | MAX-FITO | Закрыт
12:47:14 | MAX-FITO | Стартовал
12:47:17 | Метео-New | Нет данных
12:47:18 | УльтраКлима 501-0 | Управляет
12:47:18 | Микроклимат 501-0 | Управляет
12:48:14 | Микроклимат 501 3 | Авария управления
12:48:17 | Метео-New | Нет данных
12:49:14 | Микроклимат 501 3 | Авария управления
12:49:17 | Метео-New | Нет данных
12:50:17 | Метео-New | Нет данных
12:50:19 | Микроклимат 501 3 | Авария управления
12:50:27 | MAX-FITO | Закрыт
12:52:30 | MAX-FITO | Стартовал
12:52:33 | Метео-New | Нет данных
12:52:34 | УльтраКлима 501-0 | Управляет
12:52:34 | Микроклимат 501-0 | Управляет
12:53:30 | Микроклимат 501 3 | Авария управления
12:53:33 | Метео-New | Нет данных
12:54:30 | Микроклимат 501 3 | Авария управления
12:54:33 | Метео-New | Нет данных
12:55:30 | Микроклимат 501 3 | Авария управления
12:55:33 | Метео-New | Нет данных
12:56:30 | Микроклимат 501 3 | Авария управления
12:56:33 | Метео-New | Нет данных
12:57:30 | Микроклимат 501 3 | Авария управления
12:57:33 | Метео-New | Нет данных
12:58:30 | Микроклимат 501 3 | Авария управления
12:58:33 | Метео-New | Нет данных
12:59:30 | Микроклимат 501 3 | Авария управления
12:59:33 | Метео-New | Нет данных
13:00:30 | Микроклимат 501 3 | Авария управления
13:00:33 | Метео-New | Нет данных
13:01:30 | Микроклимат 501 3 | Авария управления
13:01:33 | Метео-New | Принимает
13:02:30 | Микроклимат 501 3 | Авария управления
13:03:30 | Микроклимат 501 3 | Авария управления
13:04:30 | Микроклимат 501 3 | Авария управления
13:05:30 | Микроклимат 501 3 | Авария управления
13:06:30 | Микроклимат 501 3 | Авария управления
13:06:44 | УльтраКлима 501-0 | Состояние климата - 192.168.1.244:2012-Обменов2 Программа на вашем хост-компьютере разорвала установленное подключение
13:06:44 | УльтраКлима 501-0 | Нет приема данных
13:07:30 | Микроклимат 501 3 | Авария управления
13:07:34 | УльтраКлима 501-0 | Управляет
13:08:30 | Микроклимат 501 3 | Авария управления
13:09:35 | Микроклимат 501 3 | Авария управления
13:10:30 | Микроклимат 501 3 | Авария управления
13:11:30 | Микроклимат 501 3 | Авария управления
13:11:33 | Метео-New | Нет данных
13:12:33 | Метео-New | Нет данных
13:12:35 | Микроклимат 501 3 | Авария управления
13:13:30 | Микроклимат 501 3 | Авария управления
13:13:33 | Метео-New | Нет данных
13:14:30 | Микроклимат 501 3 | Авария управления
13:14:33 | Метео-New | Нет данных
13:15:30 | Микроклимат 501 3 | Авария управления
13:15:33 | Метео-New | Нет данных
13:16:30 | Микроклимат 501 3 | Авария управления
13:16:33 | Метео-New | Нет данных
13:17:30 | Микроклимат 501 3 | Авария управления
13:17:33 | Метео-New | Нет данных
13:18:30 | Микроклимат 501 3 | Авария управления
13:18:33 | Метео-New | Нет данных
13:19:33 | Метео-New | Нет данных
13:19:35 | Микроклимат 501 3 | Авария управления
13:20:30 | Микроклимат 501 3 | Авария управления
13:20:33 | Метео-New | Нет данных
13:21:30 | Микроклимат 501 3 | Авария управления
13:21:33 | Метео-New | Нет данных
13:22:30 | Микроклимат 501 3 | Авария управления
13:22:33 | Метео-New | Нет данных
13:23:30 | Микроклимат 501 3 | Авария управления
13:23:33 | Метео-New | Нет данных
13:24:30 | Микроклимат 501 3 | Авария управления
13:24:33 | Метео-New | Нет данных
13:25:33 | Метео-New | Нет данных
13:25:35 | Микроклимат 501 3 | Авария управления
13:26:30 | Микроклимат 501 3 | Авария управления
13:26:33 | Метео-New | Нет данных
13:27:30 | Микроклимат 501 3 | Авария управления
13:27:33 | Метео-New | Нет данных
13:28:30 | Микроклимат 501 3 | Авария управления
13:28:33 | Метео-New | Нет данных
13:29:30 | Микроклимат 501 3 | Авария управления
13:29:33 | Метео-New | Принимает
13:30:30 | Микроклимат 501 3 | Авария управления
13:31:30 | Микроклимат 501 3 | Авария управления
13:32:35 | Микроклимат 501 3 | Авария управления
13:33:30 | Микроклимат 501 3 | Авария управления
13:34:30 | Микроклимат 501 3 | Авария управления
13:35:30 | Микроклимат 501 3 | Авария управления
13:36:30 | Микроклимат 501 3 | Авария управления
13:37:30 | Микроклимат 501 3 | Авария управления
13:38:30 | Микроклимат 501 3 | Авария управления
13:39:30 | Микроклимат 501 3 | Авария управления
13:40:30 | Микроклимат 501 3 | Авария управления
13:40:38 | MAX-FITO | Закрыт
13:47:06 | MAX-FITO | Стартовал
13:47:10 | Метео-New | Принимает
13:47:11 | УльтраКлима 501-0 | Управляет
13:47:11 | Микроклимат 501-0 | Управляет
13:48:06 | Микроклимат 501 3 | Авария управления
13:49:06 | Микроклимат 501 3 | Авария управления
13:50:06 | Микроклимат 501 3 | Авария управления
13:51:11 | Микроклимат 501 3 | Авария управления
13:52:06 | Микроклимат 501 3 | Авария управления
13:53:06 | Микроклимат 501 3 | Авария управления
13:53:13 | MAX-FITO | Закрыт
14:37:26 | MAX-FITO | Стартовал
14:37:29 | Метео-New | Нет данных
14:37:30 | УльтраКлима 501-0 | Управляет
14:37:30 | Микроклимат 501-0 | Управляет
14:37:39 | MAX-FITO | Закрыт
14:38:02 | MAX-FITO | Стартовал
14:38:05 | Метео-New | Нет данных
14:38:06 | УльтраКлима 501-0 | Управляет
14:38:09 | Микроклимат 501-0 | Управляет
14:38:53 | MAX-FITO | Закрыт
14:39:32 | MAX-FITO | Стартовал
14:39:36 | Метео-New | Нет данных
14:39:49 | MAX-FITO | Закрыт
14:40:27 | MAX-FITO | Стартовал
14:40:31 | Метео-New | Нет данных
14:41:21 | MAX-FITO | Закрыт
14:42:52 | MAX-FITO | Стартовал
14:42:56 | Метео-New | Нет данных
14:43:15 | MAX-FITO | Закрыт
14:43:54 | MAX-FITO | Стартовал
14:43:58 | Метео-New | Нет данных
14:44:24 | MAX-FITO | Закрыт
14:52:42 | MAX-FITO | Стартовал
14:52:46 | Метео-New | Нет данных
14:53:42 | Микроклимат 501 3 | Авария управления
14:53:46 | Метео-New | Нет данных
14:54:42 | Микроклимат 501 3 | Авария управления
14:54:46 | Метео-New | Нет данных
14:54:47 | MAX-FITO | Закрыт
14:57:26 | MAX-FITO | Стартовал
14:57:30 | Метео-New | Нет данных
14:58:30 | Метео-New | Нет данных
14:59:07 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:59:08 | Микроклимат 501 3 | Нет приема данных
14:59:30 | Метео-New | Нет данных
15:00:07 | Микроклимат 501 3 | Нет приема данных
15:00:28 | Микроклимат 501 3 | Авария управления
15:00:30 | Метео-New | Нет данных
15:01:26 | Микроклимат 501 3 | Управляет
15:01:30 | Метео-New | Нет данных
15:02:30 | Метео-New | Нет данных
15:03:30 | Метео-New | Нет данных
15:04:30 | Метео-New | Нет данных
15:04:40 | MAX-FITO | Закрыт
15:05:12 | MAX-FITO | Стартовал
15:05:17 | Метео-New | Нет данных
15:06:05 | MAX-FITO | Закрыт
15:09:00 | MAX-FITO | Стартовал
15:09:04 | Метео-New | Нет данных
15:09:39 | MAX-FITO | Закрыт
15:11:39 | MAX-FITO | Стартовал
15:11:43 | Метео-New | Нет данных
15:11:55 | MAX-FITO | Закрыт
16:43:32 | MAX-FITO | Стартовал
16:43:36 | Метео-New | Нет данных
16:44:16 | MAX-FITO | Закрыт
17:21:22 | MAX-FITO | Стартовал
17:21:26 | Метео-New | Нет данных
17:22:26 | Метео-New | Нет данных
17:22:42 | Микроклимат 501 3 | Управляет
17:22:50 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
17:23:26 | Метео-New | Нет данных
17:24:22 | Микроклимат 501 3 | Управляет
17:24:26 | Метео-New | Нет данных
17:25:26 | Метео-New | Нет данных
17:26:26 | Метео-New | Нет данных
17:27:26 | Метео-New | Нет данных
17:28:26 | Метео-New | Нет данных
17:29:26 | Метео-New | Нет данных
17:30:26 | Метео-New | Принимает
17:39:04 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
17:39:04 | Микроклимат 501 3 | Нет приема данных
17:40:04 | Микроклимат 501 3 | Нет приема данных
17:41:04 | Микроклимат 501 3 | Нет приема данных
17:41:22 | Микроклимат 501 3 | Управляет
17:41:26 | Метео-New | Нет данных
17:42:26 | Метео-New | Нет данных
17:43:26 | Метео-New | Нет данных
17:44:26 | Метео-New | Нет данных
17:45:26 | Метео-New | Нет данных
17:46:26 | Метео-New | Нет данных
17:47:26 | Метео-New | Нет данных
17:48:26 | Метео-New | Нет данных
17:49:26 | Метео-New | Нет данных
17:50:26 | Метео-New | Нет данных
17:51:26 | Метео-New | Нет данных
17:52:26 | Метео-New | Нет данных
17:53:26 | Метео-New | Нет данных
17:54:26 | Метео-New | Нет данных
17:55:26 | Метео-New | Нет данных
17:56:26 | Метео-New | Нет данных
17:57:26 | Метео-New | Нет данных
17:58:26 | Метео-New | Нет данных
17:59:26 | Метео-New | Нет данных
18:00:26 | Метео-New | Нет данных
18:01:26 | Метео-New | Нет данных
18:02:26 | Метео-New | Нет данных
18:03:26 | Метео-New | Нет данных
18:04:26 | Метео-New | Нет данных
18:05:26 | Метео-New | Нет данных
18:06:26 | Метео-New | Нет данных
18:07:26 | Метео-New | Нет данных
18:08:26 | Метео-New | Нет данных
18:09:26 | Метео-New | Нет данных
18:10:26 | Метео-New | Нет данных
18:11:26 | Метео-New | Нет данных
18:12:26 | Метео-New | Нет данных
18:13:26 | Метео-New | Нет данных
18:14:26 | Метео-New | Нет данных
18:15:26 | Метео-New | Нет данных
18:16:26 | Метео-New | Нет данных
18:17:26 | Метео-New | Нет данных
18:18:26 | Метео-New | Нет данных
18:19:26 | Метео-New | Нет данных
18:20:26 | Метео-New | Нет данных
18:21:26 | Метео-New | Нет данных
18:22:26 | Метео-New | Нет данных
