13:47:19 | MAX-FITO | Стартовал
13:47:32 | MAX-FITO | Закрыт
13:48:07 | MAX-FITO | Стартовал
13:48:44 | MAX-FITO | Закрыт
13:49:14 | MAX-FITO | Стартовал
13:49:16 | MAX-FITO | Закрыт
13:50:19 | MAX-FITO | Стартовал
13:50:27 | MAX-FITO | Закрыт
16:10:14 | MAX-FITO | Стартовал
16:10:17 | MAX-FITO | Закрыт
