11:55:49 | MAX-FITO | Стартовал
11:55:54 | Метео-New | Нет данных
11:56:38 | MAX-FITO | Закрыт
12:21:51 | MAX-FITO | Стартовал
12:21:55 | Метео-New | Нет данных
12:22:21 | Микроклимат 501 3 | Авария управления
12:22:29 | MAX-FITO | Закрыт
12:23:45 | MAX-FITO | Стартовал
12:23:50 | MAX-FITO | Закрыт
12:24:32 | MAX-FITO | Стартовал
12:24:38 | Метео-New | Нет данных
12:25:03 | Микроклимат 501 3 | Авария управления
12:25:33 | Микроклимат 501 3 | Авария управления
12:25:38 | Метео-New | Нет данных
12:26:03 | Микроклимат 501 3 | Авария управления
12:26:33 | Микроклимат 501 3 | Авария управления
12:26:38 | Метео-New | Нет данных
12:27:03 | Микроклимат 501 3 | Авария управления
12:27:33 | Микроклимат 501 3 | Авария управления
12:27:38 | Метео-New | Нет данных
12:28:03 | Микроклимат 501 3 | Авария управления
12:28:33 | Микроклимат 501 3 | Авария управления
12:28:38 | Метео-New | Нет данных
12:29:03 | Микроклимат 501 3 | Авария управления
12:29:33 | Микроклимат 501 3 | Авария управления
12:29:38 | Метео-New | Нет данных
12:30:03 | Микроклимат 501 3 | Авария управления
12:30:38 | Микроклимат 501 3 | Авария управления
12:30:38 | Метео-New | Нет данных
12:31:03 | Микроклимат 501 3 | Авария управления
12:31:33 | Микроклимат 501 3 | Авария управления
12:31:38 | Метео-New | Нет данных
12:32:03 | Микроклимат 501 3 | Авария управления
12:32:33 | Микроклимат 501 3 | Авария управления
12:32:38 | Метео-New | Нет данных
12:32:39 | MAX-FITO | Закрыт
12:36:45 | MAX-FITO | Стартовал
12:36:49 | Метео-New | Нет данных
12:36:51 | MAX-FITO | Закрыт
12:44:11 | MAX-FITO | Стартовал
12:44:16 | Метео-New | Нет данных
12:44:42 | Микроклимат 501 3 | Авария управления
12:45:12 | Микроклимат 501 3 | Авария управления
12:45:16 | Метео-New | Нет данных
12:45:42 | MAX-FITO | Закрыт
14:13:26 | MAX-FITO | Стартовал
14:13:31 | Метео-New | Нет данных
14:13:57 | Микроклимат 501 3 | Авария управления
14:14:27 | Микроклимат 501 3 | Авария управления
14:14:31 | Метео-New | Нет данных
14:14:57 | Микроклимат 501 3 | Авария управления
14:15:26 | Микроклимат 501 3 | Авария управления
14:15:31 | Метео-New | Нет данных
14:15:56 | Микроклимат 501 3 | Авария управления
14:16:26 | Микроклимат 501 3 | Авария управления
14:16:31 | Метео-New | Нет данных
14:17:31 | Метео-New | Нет данных
14:17:38 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:17:38 | Микроклимат 501 3 | Нет приема данных
14:18:22 | Микроклимат 501 3 | Нет приема данных
14:18:31 | Метео-New | Нет данных
14:18:56 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
14:18:56 | Микроклимат 501 3 | Нет приема данных
14:18:58 | УльтраКлима 501-U | Параметры управления - 192.168.1.102:2012-Обменов2 Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение
14:19:00 | УльтраКлима 501-U | Нет приема данных
14:19:31 | Метео-New | Нет данных
14:19:42 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:19:42 | Микроклимат 501 3 | Нет приема данных
14:19:45 | УльтраКлима 501-U | Состояние климата - 192.168.1.102:2012-Обменов2 Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение
14:19:45 | УльтраКлима 501-U | Нет приема данных
14:20:26 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
14:20:26 | Микроклимат 501 3 | Нет приема данных
14:20:31 | Метео-New | Нет данных
14:21:07 | Микроклимат 501 3 | Нет приема данных
14:21:10 | УльтраКлима 501-U | Нет приема данных
14:21:31 | Метео-New | Нет данных
14:21:52 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:21:52 | Микроклимат 501 3 | Нет приема данных
14:22:26 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
14:22:26 | Микроклимат 501 3 | Нет приема данных
14:22:31 | Метео-New | Нет данных
14:23:07 | Микроклимат 501 3 | Нет приема данных
14:23:09 | УльтраКлима 501-U | Нет приема данных
14:23:31 | Метео-New | Нет данных
14:23:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:23:51 | Микроклимат 501 3 | Нет приема данных
14:24:26 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
14:24:26 | Микроклимат 501 3 | Нет приема данных
14:24:31 | Метео-New | Нет данных
14:25:07 | Микроклимат 501 3 | Нет приема данных
14:25:09 | УльтраКлима 501-U | Нет приема данных
14:25:31 | Метео-New | Нет данных
14:25:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:25:51 | Микроклимат 501 3 | Нет приема данных
14:26:26 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
14:26:26 | Микроклимат 501 3 | Нет приема данных
14:26:31 | Метео-New | Нет данных
14:27:07 | Микроклимат 501 3 | Нет приема данных
14:27:09 | УльтраКлима 501-U | Нет приема данных
14:27:31 | Метео-New | Нет данных
14:27:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:27:51 | Микроклимат 501 3 | Нет приема данных
14:28:26 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
14:28:26 | Микроклимат 501 3 | Нет приема данных
14:28:31 | Метео-New | Нет данных
14:29:07 | Микроклимат 501 3 | Нет приема данных
14:29:09 | УльтраКлима 501-U | Нет приема данных
14:29:31 | Метео-New | Нет данных
14:29:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:29:51 | Микроклимат 501 3 | Нет приема данных
14:30:26 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
14:30:26 | Микроклимат 501 3 | Нет приема данных
14:30:31 | Метео-New | Нет данных
14:31:07 | Микроклимат 501 3 | Нет приема данных
14:31:09 | УльтраКлима 501-U | Нет приема данных
14:31:31 | Метео-New | Нет данных
14:31:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:31:51 | Микроклимат 501 3 | Нет приема данных
14:32:26 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
14:32:26 | Микроклимат 501 3 | Нет приема данных
14:32:31 | Метео-New | Нет данных
14:32:58 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:32:58 | Микроклимат 501 3 | Нет приема данных
14:33:00 | УльтраКлима 501-U | Параметры управления - 192.168.1.102:2012-Обменов2 Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение
14:33:02 | УльтраКлима 501-U | Нет приема данных
14:33:15 | MAX-FITO | Закрыт
14:33:26 | MAX-FITO | Стартовал
14:33:31 | Метео-New | Нет данных
14:34:12 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:34:12 | Микроклимат 501 3 | Нет приема данных
14:34:31 | Метео-New | Нет данных
14:34:55 | Микроклимат 501 3 | Нет приема данных
14:34:57 | УльтраКлима 501-U | Состояние климата - 192.168.1.102:2012-Обменов2 Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение
14:34:57 | УльтраКлима 501-U | Нет приема данных
14:35:30 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
14:35:30 | Микроклимат 501 3 | Нет приема данных
14:35:31 | Метео-New | Нет данных
14:36:12 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:36:12 | Микроклимат 501 3 | Нет приема данных
14:36:15 | УльтраКлима 501-U | Нет приема данных
14:36:31 | Метео-New | Нет данных
14:36:57 | Микроклимат 501 3 | Нет приема данных
14:36:59 | УльтраКлима 501-U | Нет приема данных
14:37:30 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
14:37:30 | Микроклимат 501 3 | Нет приема данных
14:37:31 | Метео-New | Нет данных
14:38:12 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:38:12 | Микроклимат 501 3 | Нет приема данных
14:38:31 | Метео-New | Нет данных
14:38:54 | Микроклимат 501 3 | Нет приема данных
14:39:31 | Метео-New | Нет данных
14:39:43 | Микроклимат 501 3 | Нет приема данных
14:40:25 | Микроклимат 501 3 | Нет приема данных
14:40:31 | Метео-New | Нет данных
14:41:00 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
14:41:00 | Микроклимат 501 3 | Нет приема данных
14:41:31 | Метео-New | Нет данных
14:41:38 | MAX-FITO | Закрыт
14:43:26 | MAX-FITO | Стартовал
14:43:30 | Метео-New | Нет данных
14:44:30 | Метео-New | Нет данных
14:44:37 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
14:44:37 | Микроклимат 501 3 | Нет приема данных
14:44:53 | MAX-FITO | Закрыт
14:45:55 | MAX-FITO | Стартовал
14:46:00 | Метео-New | Нет данных
14:47:00 | Метео-New | Нет данных
