9:03:51 | MAX-FITO | Стартовал
9:03:56 | Метео-New | Нет данных
9:04:37 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
9:04:37 | Микроклимат 501 3 | Нет приема данных
9:04:56 | Метео-New | Нет данных
9:05:19 | Микроклимат 501 3 | Нет приема данных
9:05:46 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
9:05:46 | УльтраКлима 501-Ultra | Нет приема данных
9:05:56 | Метео-New | Нет данных
9:06:25 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
9:06:25 | Микроклимат 501 3 | Нет приема данных
9:06:55 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
9:06:55 | УльтраКлима 501-Ultra | Нет приема данных
9:06:56 | Метео-New | Нет данных
9:07:37 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
9:07:37 | Микроклимат 501 3 | Нет приема данных
9:07:56 | Метео-New | Нет данных
9:08:16 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
9:08:16 | УльтраКлима 501-Ultra | Нет приема данных
9:08:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
9:08:51 | Микроклимат 501 3 | Нет приема данных
9:08:56 | Метео-New | Нет данных
9:09:16 | УльтраКлима 501-Ultra | Нет приема данных
9:09:55 | Микроклимат 501 3 | Нет приема данных
9:09:56 | Метео-New | Нет данных
9:10:37 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
9:10:37 | Микроклимат 501 3 | Нет приема данных
9:10:56 | Метео-New | Нет данных
9:11:16 | УльтраКлима 501-Ultra | Нет приема данных
9:11:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
9:11:51 | Микроклимат 501 3 | Нет приема данных
9:11:56 | Метео-New | Нет данных
9:12:16 | УльтраКлима 501-Ultra | Нет приема данных
9:12:55 | Микроклимат 501 3 | Нет приема данных
9:12:56 | Метео-New | Нет данных
9:13:37 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
9:13:37 | Микроклимат 501 3 | Нет приема данных
9:13:56 | Метео-New | Нет данных
9:14:16 | УльтраКлима 501-Ultra | Нет приема данных
9:14:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
9:14:51 | Микроклимат 501 3 | Нет приема данных
9:14:56 | Метео-New | Нет данных
9:15:16 | УльтраКлима 501-Ultra | Нет приема данных
9:15:55 | Микроклимат 501 3 | Нет приема данных
9:15:56 | Метео-New | Нет данных
9:16:37 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
9:16:37 | Микроклимат 501 3 | Нет приема данных
9:16:56 | Метео-New | Нет данных
9:17:16 | УльтраКлима 501-Ultra | Нет приема данных
9:17:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
9:17:51 | Микроклимат 501 3 | Нет приема данных
9:17:56 | Метео-New | Нет данных
9:18:16 | УльтраКлима 501-Ultra | Нет приема данных
9:18:55 | Микроклимат 501 3 | Нет приема данных
9:18:56 | Метео-New | Нет данных
9:19:37 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
9:19:37 | Микроклимат 501 3 | Нет приема данных
9:19:56 | Метео-New | Нет данных
9:20:16 | УльтраКлима 501-Ultra | Нет приема данных
9:20:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
9:20:51 | Микроклимат 501 3 | Нет приема данных
9:20:56 | Метео-New | Нет данных
11:16:01 | MAX-FITO | Стартовал
11:16:05 | Метео-New | Нет данных
11:16:24 | MAX-FITO | Закрыт
