12:05:03 | MAX-FITO | Стартовал
12:05:07 | Метео-New | Нет данных
12:05:50 | MAX-FITO | Закрыт
12:06:02 | MAX-FITO | Стартовал
12:06:04 | MAX-FITO | Закрыт
13:40:00 | MAX-FITO | Стартовал
13:40:04 | Метео-New | Нет данных
13:40:52 | Микроклимат 501 3 | Авария управления
13:41:02 | Микроклимат 501 3 | Авария управления
13:41:04 | Метео-New | Нет данных
13:41:31 | Микроклимат 501 3 | Авария управления
13:42:01 | Микроклимат 501 3 | Авария управления
13:42:04 | Метео-New | Нет данных
13:42:31 | Микроклимат 501 3 | Авария управления
13:43:04 | Метео-New | Нет данных
13:43:06 | Микроклимат 501 3 | Авария управления
13:43:36 | Микроклимат 501 3 | Авария управления
13:44:04 | Метео-New | Нет данных
13:44:06 | Микроклимат 501 3 | Авария управления
13:44:31 | Микроклимат 501 3 | Авария управления
13:45:01 | Микроклимат 501 3 | Авария управления
13:45:05 | Метео-New | Нет данных
13:45:18 | УльтраКлима 501-Ultra | Демо режим
13:45:31 | Микроклимат 501 3 | Авария управления
13:46:01 | Микроклимат 501 3 | Авария управления
13:46:04 | Метео-New | Нет данных
13:46:36 | Микроклимат 501 3 | Авария управления
13:47:01 | Микроклимат 501 3 | Авария управления
13:47:04 | Метео-New | Нет данных
13:47:36 | Микроклимат 501 3 | Авария управления
13:48:01 | Микроклимат 501 3 | Авария управления
13:48:04 | Метео-New | Нет данных
13:48:31 | Микроклимат 501 3 | Авария управления
13:49:01 | Микроклимат 501 3 | Авария управления
13:49:04 | Метео-New | Нет данных
13:49:31 | Микроклимат 501 3 | Авария управления
13:50:04 | Метео-New | Нет данных
13:50:06 | Микроклимат 501 3 | Авария управления
13:50:31 | Микроклимат 501 3 | Авария управления
13:51:04 | Метео-New | Нет данных
13:51:06 | Микроклимат 501 3 | Авария управления
13:51:36 | Микроклимат 501 3 | Авария управления
13:52:01 | Микроклимат 501 3 | Авария управления
13:52:04 | Метео-New | Нет данных
13:52:31 | Микроклимат 501 3 | Авария управления
13:53:01 | Микроклимат 501 3 | Авария управления
13:53:04 | Метео-New | Нет данных
13:53:31 | Микроклимат 501 3 | Авария управления
13:54:01 | Микроклимат 501 3 | Авария управления
13:54:04 | Метео-New | Нет данных
13:54:36 | Микроклимат 501 3 | Авария управления
13:55:04 | Метео-New | Нет данных
13:55:06 | Микроклимат 501 3 | Авария управления
13:55:31 | Микроклимат 501 3 | Авария управления
13:55:45 | MAX-FITO | Закрыт
13:56:28 | MAX-FITO | Стартовал
13:56:32 | Метео-New | Нет данных
13:56:33 | Микроклимат 501 3 | Авария управления
13:56:51 | MAX-FITO | Закрыт
15:54:04 | MAX-FITO | Стартовал
15:54:09 | Метео-New | Нет данных
15:54:30 | Микроклимат 501 3 | Авария управления
15:54:39 | Микроклимат 501 3 | Авария управления
15:55:09 | Метео-New | Нет данных
15:55:09 | Микроклимат 501 3 | Авария управления
15:55:33 | MAX-FITO | Закрыт
