14:26:34 | MAX-FITO | Стартовал
14:26:37 | MAX-FITO | Закрыт
16:20:13 | MAX-FITO | Стартовал
16:20:18 | Метео-New | Нет данных
16:21:00 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:21:00 | УльтраКлима 501-Ultra | Нет приема данных
16:21:18 | Метео-New | Нет данных
16:21:42 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:21:43 | Микроклимат 501 3 | Нет приема данных
16:22:13 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:22:13 | Микроклимат 501 3 | Нет приема данных
16:22:18 | Метео-New | Нет данных
16:22:43 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:22:43 | УльтраКлима 501-Ultra | Нет приема данных
16:23:18 | Метео-New | Нет данных
16:23:18 | Микроклимат 501 3 | Нет приема данных
16:23:43 | УльтраКлима 501-Ultra | Нет приема данных
16:24:18 | Метео-New | Нет данных
16:24:25 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:24:25 | Микроклимат 501 3 | Нет приема данных
16:25:07 | Микроклимат 501 3 | Нет приема данных
16:25:18 | Метео-New | Нет данных
16:25:34 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:25:34 | УльтраКлима 501-Ultra | Нет приема данных
16:26:13 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:26:13 | Микроклимат 501 3 | Нет приема данных
16:26:18 | Метео-New | Нет данных
16:26:43 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:26:43 | УльтраКлима 501-Ultra | Нет приема данных
16:27:18 | Метео-New | Нет данных
16:27:18 | Микроклимат 501 3 | Нет приема данных
16:27:43 | УльтраКлима 501-Ultra | Нет приема данных
16:28:18 | Метео-New | Нет данных
16:28:25 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:28:25 | Микроклимат 501 3 | Нет приема данных
16:29:07 | Микроклимат 501 3 | Нет приема данных
16:29:18 | Метео-New | Нет данных
16:29:34 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:29:34 | УльтраКлима 501-Ultra | Нет приема данных
16:30:13 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:30:13 | Микроклимат 501 3 | Нет приема данных
16:30:18 | Метео-New | Нет данных
16:30:43 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:30:43 | УльтраКлима 501-Ultra | Нет приема данных
16:31:18 | Метео-New | Нет данных
16:31:18 | Микроклимат 501 3 | Нет приема данных
16:31:43 | УльтраКлима 501-Ultra | Нет приема данных
16:32:18 | Метео-New | Нет данных
16:32:25 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:32:25 | Микроклимат 501 3 | Нет приема данных
16:33:07 | Микроклимат 501 3 | Нет приема данных
16:33:18 | Метео-New | Нет данных
16:33:34 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
16:33:34 | УльтраКлима 501-Ultra | Нет приема данных
16:34:13 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:34:13 | Микроклимат 501 3 | Нет приема данных
16:34:18 | Метео-New | Нет данных
16:34:43 | УльтраКлима 501-Ultra | Состояние климата - 192.168.1.201:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
16:34:43 | УльтраКлима 501-Ultra | Нет приема данных
16:35:18 | Метео-New | Нет данных
16:35:18 | Микроклимат 501 3 | Нет приема данных
16:35:43 | УльтраКлима 501-Ultra | Нет приема данных
16:36:18 | Метео-New | Нет данных
16:36:23 | MAX-FITO | Закрыт
