17:52:04 | MAX-FITO | Стартовал
17:52:09 | Метео-New | Нет данных
17:52:25 | УльтраКлима 501-u | Демо режим
17:52:33 | Измеритель веса и дренажа 501-0 | Демо режим
17:52:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
17:52:51 | Микроклимат 501 3 | Нет приема данных
17:53:09 | Метео-New | Нет данных
17:53:33 | Микроклимат 501 3 | Нет приема данных
17:54:09 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Сделана попытка выполнить операцию на объекте, не являющемся сокетом
17:54:09 | Микроклимат 501 3 | Нет приема данных
17:54:09 | Метео-New | Нет данных
17:54:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
17:54:51 | Микроклимат 501 3 | Нет приема данных
17:55:08 | MAX-FITO | Закрыт
