12:36:58 | MAX-FITO | Стартовал
12:37:58 | УльтраКлима 501-0 | Демо режим
13:00:21 | Микроклимат 501-0t | Демо режим
13:02:24 | MAX-FITO | Закрыт
15:14:29 | MAX-FITO | Стартовал
15:14:32 | УльтраКлима 501-0 | Демо режим
15:14:46 | MAX-FITO | Закрыт
16:17:59 | MAX-FITO | Стартовал
16:18:01 | MAX-FITO | Закрыт
16:18:25 | MAX-FITO | Стартовал
16:18:29 | УльтраКлима 501-0 | Демо режим
16:19:24 | Микроклимат 501-0t | Демо режим
16:20:00 | Микроклимат 501-0 | Демо режим
16:20:29 | Микроклимат 501-0 | Демо режим
16:27:29 | Микроклимат 501-0 | Демо режим
16:29:00 | Микроклимат 501-0 | Демо режим
16:31:03 | Микроклимат 501-1 | Состояние климата - COM1:Номер1 - COM1 Не удается найти указанный файл
16:31:03 | Микроклимат 501-1 | Нет приема данных
16:32:03 | Микроклимат 501-1 | Нет приема данных
16:33:03 | Микроклимат 501-1 | Нет приема данных
16:34:03 | Микроклимат 501-1 | Нет приема данных
16:35:03 | Микроклимат 501-1 | Нет приема данных
16:36:03 | Микроклимат 501-1 | Нет приема данных
16:37:03 | Микроклимат 501-1 | Нет приема данных
16:37:22 | Микроклимат 501 0 | Авария управления
16:38:23 | Микроклимат 501 0 | Авария управления
16:39:27 | Микроклимат 501 0 | Авария управления
16:40:14 | MAX-FITO | Закрыт
16:44:21 | MAX-FITO | Стартовал
16:45:21 | Микроклимат 501 0 | Авария управления
16:46:21 | Микроклимат 501 0 | Авария управления
16:47:21 | Микроклимат 501 0 | Авария управления
16:48:21 | Микроклимат 501 0 | Авария управления
16:49:26 | Микроклимат 501 0 | Авария управления
16:50:21 | Микроклимат 501 0 | Авария управления
16:51:21 | Микроклимат 501 0 | Авария управления
16:52:21 | Микроклимат 501 0 | Авария управления
16:53:21 | Микроклимат 501 0 | Авария управления
16:54:21 | Микроклимат 501 0 | Авария управления
16:55:21 | Микроклимат 501 0 | Авария управления
16:56:21 | Микроклимат 501 0 | Авария управления
16:56:48 | MAX-FITO | Закрыт
17:09:20 | MAX-FITO | Стартовал
17:09:46 | MAX-FITO | Закрыт
17:12:35 | MAX-FITO | Стартовал
17:13:57 | Микроклимат 501 0 | Авария управления
17:14:36 | Микроклимат 501 0 | Авария управления
17:15:36 | Микроклимат 501 0 | Авария управления
17:16:02 | Микроклимат 501 3 | Авария управления
17:17:04 | Микроклимат 501 3 | Авария управления
17:17:16 | MAX-FITO | Закрыт
17:20:06 | MAX-FITO | Стартовал
17:21:06 | Микроклимат 501 3 | Авария управления
17:21:16 | MAX-FITO | Закрыт
17:32:55 | MAX-FITO | Стартовал
17:33:55 | Микроклимат 501 3 | Авария управления
17:34:55 | Микроклимат 501 3 | Авария управления
17:36:01 | Микроклимат 501 3 | Авария управления
17:36:13 | MAX-FITO | Закрыт
17:44:50 | MAX-FITO | Стартовал
17:45:00 | MAX-FITO | Закрыт
17:46:11 | MAX-FITO | Стартовал
17:46:19 | MAX-FITO | Закрыт
17:52:32 | MAX-FITO | Стартовал
17:52:34 | MAX-FITO | Закрыт
